dataID,HHuniqueID,Communication,LastContactDay,LastContactMonth,NoOfContacts,DaysPassed,PrevAttempts,past_Outcome,Y_AcceptedOffer
4324,HHda44d03dd1,cellular,6,aug,4,-1,0,NA,NA
4653,HHdbe76584b6,cellular,8,may,2,361,4,failure,NA
4398,HHc76e1bfd51,cellular,15,jun,1,105,1,failure,NA
4082,HH47baf19fd4,NA,6,jun,3,-1,0,NA,NA
4388,HH1e95c7e336,telephone,22,jul,1,-1,0,NA,NA
4804,HHe4cd927731,cellular,6,may,2,-1,0,NA,NA
4140,HH86c81ee4ec,cellular,12,jun,5,-1,0,NA,NA
4346,HH413fea90b3,cellular,18,may,1,-1,0,NA,NA
4622,HHa259285de7,cellular,7,jul,1,-1,0,NA,NA
4863,HH2aea813a29,NA,26,may,3,-1,0,NA,NA
4459,HHfb3b9d394b,cellular,9,jul,1,-1,0,NA,NA
4323,HHea9a43ceb7,cellular,30,apr,1,183,2,success,NA
4399,HH4d87c5df89,cellular,29,jan,1,261,3,failure,NA
4290,HH32827939bb,cellular,6,aug,4,-1,0,NA,NA
4477,HHbe177d8e20,NA,26,may,1,-1,0,NA,NA
4075,HH2ea31b54ea,NA,24,oct,1,-1,0,NA,NA
4567,HHee7a04dd81,cellular,14,apr,1,-1,0,NA,NA
4731,HH635bcf621c,cellular,17,apr,1,-1,0,NA,NA
4352,HH5e1a2aad93,NA,5,may,2,-1,0,NA,NA
4022,HH3accddf412,cellular,22,jun,1,-1,0,NA,NA
4670,HHdb87dc6e7a,cellular,16,oct,2,-1,0,NA,NA
4556,HH018a253250,cellular,29,oct,1,-1,0,NA,NA
4128,HHd2c1ba3d3d,cellular,30,jan,2,2,1,other,NA
4057,HH842006bab1,cellular,21,aug,1,-1,0,NA,NA
4372,HH98f9613a48,cellular,18,nov,1,-1,0,NA,NA
4365,HH61b5b4154a,cellular,17,jun,2,134,4,success,NA
4393,HHbdbd4a4852,cellular,21,nov,4,-1,0,NA,NA
4608,HHf495e8e082,cellular,19,aug,6,-1,0,NA,NA
4419,HH0012228ae0,cellular,6,may,2,-1,0,NA,NA
4798,HH8511d035be,cellular,26,aug,13,-1,0,NA,NA
4994,HHdd589f5523,NA,1,jul,3,-1,0,NA,NA
4130,HHba3994b995,cellular,19,nov,4,-1,0,NA,NA
4169,HH600afe9fb6,NA,15,may,4,-1,0,NA,NA
4859,HH119b4ec248,cellular,16,feb,1,-1,0,NA,NA
4103,HH6d48cca377,telephone,11,sep,2,95,3,other,NA
4237,HHe3956c27da,NA,20,may,1,-1,0,NA,NA
4303,HHacd7d6fe45,cellular,12,may,1,370,2,failure,NA
4698,HH02ef020a4a,cellular,29,jul,2,-1,0,NA,NA
4716,HH0265bbee08,cellular,7,aug,2,-1,0,NA,NA
4837,HH93a8a9e7b5,NA,26,may,2,-1,0,NA,NA
4696,HHfcd760e40c,cellular,13,aug,1,105,2,failure,NA
4675,HH068b8d296f,cellular,21,nov,5,-1,0,NA,NA
4502,HHf966f0bdd9,NA,6,may,2,-1,0,NA,NA
4580,HHc4f5c9475f,NA,27,may,1,-1,0,NA,NA
4268,HH57aaf2b405,NA,28,may,9,-1,0,NA,NA
4485,HH171fae7734,cellular,25,feb,1,87,10,failure,NA
4035,HH8517bf79bb,NA,19,may,1,-1,0,NA,NA
4542,HH3fbb640624,cellular,7,dec,1,-1,0,NA,NA
4949,HHeb44e9178f,cellular,11,aug,2,-1,0,NA,NA
4534,HH31e783cded,cellular,11,aug,2,-1,0,NA,NA
4047,HHf70acd4c5e,cellular,29,jun,1,586,2,failure,NA
4979,HHf2c748bc19,NA,4,jun,15,-1,0,NA,NA
4219,HH52ee5ffcbe,cellular,3,jun,3,-1,0,NA,NA
4867,HH0846ec71a5,cellular,13,aug,2,-1,0,NA,NA
4816,HH971108bf95,cellular,22,apr,2,-1,0,NA,NA
4855,HHed7b8acbe1,telephone,18,nov,1,-1,0,NA,NA
4736,HHe552c385c5,telephone,11,may,1,284,4,other,NA
4896,HH05013b485d,cellular,18,jul,1,-1,0,NA,NA
4968,HHbae111a38a,NA,5,may,2,-1,0,NA,NA
4755,HH4775aa6359,NA,28,may,2,-1,0,NA,NA
4027,HH6b8e4fad14,cellular,29,oct,2,-1,0,NA,NA
4434,HH4bdeb9649f,NA,28,may,1,-1,0,NA,NA
4138,HH0f961b3e5a,cellular,8,may,3,-1,0,NA,NA
4592,HH5ba1c0d598,cellular,18,aug,6,-1,0,NA,NA
4809,HH10b73ecf8f,cellular,6,feb,2,-1,0,NA,NA
4659,HH4e94776418,cellular,30,jul,3,-1,0,NA,NA
4338,HH6a6e2953f3,NA,30,may,5,-1,0,NA,NA
4595,HHa2ad956e5a,NA,23,may,4,-1,0,NA,NA
4050,HH218241e883,cellular,31,jul,8,-1,0,NA,NA
4761,HHc892685deb,cellular,18,mar,4,-1,0,NA,NA
4773,HHd15b038e2b,cellular,20,apr,3,151,4,failure,NA
4124,HHcf1d7fdc92,cellular,28,oct,3,272,1,failure,NA
4051,HHa2bf77ee73,cellular,11,aug,2,-1,0,NA,NA
4625,HHaa0132e2db,cellular,21,nov,1,-1,0,NA,NA
4053,HH7cc108f31c,NA,9,may,3,-1,0,NA,NA
