Name,Year,Conference,points,points_avg,fg_made,fg_attempted,fg_pct,ft_made,ft_attempted,ft_pct,threefg_made,threefg_attempted,threefg_pct,rebounds_total,rebounds_total_avg,rebounds_offensive,rebounds_offensive_avg,rebounds_defensive,rebounds_defensive_avg,assists,assists_avg,assist_turnover_ratio,assist_pct,turnovers,turnovers_avg,turnover_pct,steals,steals_avg,steal_pct,blocks,blocks_avg,block_pct,fouls,fouls_avg,dqs,possessions,possessions_avg,points_possession_avg,floor_pct,efficiency,effective_fg_pct,true_shooting_pct,ft_rate_pct,fg_dist_pct,Seeds,Game Region,Game ID,Unique Game ID,Round 1 game score,R1 Class 1=win
Monmouth,2000 2001,NEC,2180,70.3,756,1664,45.4,467,678,68.9,201,570,35.3,1055,34,300,9.7,755,24.4,438,14.1,0.9,57.9,471,15.2,21.7,280,9,12.9,105,3.4,6,517,16.7,7,2162,69.7,1,49.4,100.8,51.4,54.8,40.7,69.3,16,East,E1,2001E1,52,0
Duke,2000 2001,ACC,3538,90.7,1217,2531,48.1,697,1001,69.6,407,1057,38.5,1503,38.5,538,13.8,965,24.7,701,18,1.3,57.6,531,13.6,17.6,411,10.5,13.6,196,5,7.9,660,16.9,12,3003,77,1.2,57.3,117.8,56.1,58.8,39.5,68.7,1,East,E1,2001E1,95,1
Georgia,2000 2001,SEC,2257,72.8,845,1820,46.4,425,632,67.2,142,411,34.5,1193,38.5,397,12.8,796,25.7,464,15,1,54.9,486,15.7,22,195,6.3,8.8,149,4.8,8.1,564,18.2,10,2204,71.1,1,53.8,102.4,50.3,53.2,34.7,74.8,8,East,E2,2001E2,68,0
Missouri,2000 2001,Big 12,2493,75.5,847,2015,42,520,742,70.1,279,734,38,1259,38.2,466,14.1,793,24,418,12.7,0.8,49.3,494,15,20.6,258,7.8,10.7,130,3.9,6.5,679,20.6,18,2397,72.6,1,52.3,104,48.9,52.6,36.8,67.9,9,East,E2,2001E2,70,1
Ohio State,2000 2001,Big Ten,2206,71.2,775,1645,47.1,487,695,70.1,169,443,38.1,1090,35.2,355,11.5,735,23.7,473,15.3,1,61,471,15.2,22.6,161,5.2,7.7,160,5.2,9.4,604,19.5,13,2084,67.2,1.1,53.4,105.9,52.2,55.8,42.2,70.2,5,East,E3,2001E3,68,0
Utah State,2000 2001,Big West,2404,70.7,852,1755,48.5,500,743,67.3,200,513,39,1176,34.6,370,10.9,806,23.7,511,15,1.1,59.9,486,14.3,21.9,220,6.5,9.9,132,3.9,7.3,581,17.1,2,2211,65,1.1,54.5,108.7,54.2,57,42.3,70.8,12,East,E3,2001E3,77,1
Hofstra,2000 2001,America East,2257,72.8,784,1657,47.3,522,807,64.7,167,503,33.2,1166,37.6,373,12,793,25.6,414,13.4,0.8,52.8,511,16.5,23.4,237,7.6,10.8,119,3.8,6.9,547,17.6,10,2179,70.3,1,53.3,103.6,52.3,55.3,48.7,69.4,13,East,E4,2001E4,48,0
UCLA,2000 2001,Pac 12,2544,79.5,902,1947,46.3,550,829,66.3,190,535,35.5,1219,38.1,441,13.8,778,24.3,464,14.5,0.9,51.4,515,16.1,21.3,249,7.8,10.3,127,4,6.7,669,20.9,23,2412,75.4,1.1,54.5,105.5,51.2,54.3,42.5,70.9,4,East,E4,2001E4,61,1
Southern Utah,2000 2001,Mid-Continent,2243,72.4,783,1602,48.9,480,673,71.3,197,494,39.9,997,32.2,335,10.8,662,21.4,462,14.9,1,59,471,15.2,22.8,322,10.4,15.6,87,2.8,5.4,613,19.8,16,2064,66.6,1.1,53.9,108.7,55,58.3,42,69.8,14,East,E5,2001E5,65,0
Boston College,2000 2001,Big East,2547,79.6,879,1934,45.4,559,788,70.9,230,651,35.3,1166,36.4,486,15.2,680,21.3,457,14.3,1.1,51.9,423,13.2,18.8,326,10.2,14.5,96,3,5.6,652,20.4,15,2241,70,1.1,57.9,113.7,51.3,55.1,40.7,69,3,East,E5,2001E5,68,1
