date,fruit_sales_8
3/25/20,213939
4/1/20,224206
4/8/20,223338
4/15/20,222945
4/22/20,214021
4/29/20,201876
5/6/20,186556
5/13/20,178539
5/20/20,172717
5/27/20,177529
6/3/20,187074
6/10/20,198980
6/17/20,215683
6/24/20,223941
7/1/20,226290
7/8/20,226201
7/15/20,214246
7/22/20,201924
7/29/20,187855
8/5/20,180084
8/12/20,175958
8/19/20,179530
8/26/20,187370
9/2/20,203969
9/9/20,214911
9/16/20,226046
9/23/20,225493
9/30/20,225491
10/7/20,216813
10/14/20,199543
10/21/20,188054
10/28/20,179660
11/4/20,172564
11/11/20,179053
11/18/20,188916
11/25/20,201334
12/2/20,214060
12/9/20,224119
12/16/20,227200
12/23/20,222302
12/30/20,216177
1/6/21,204425
1/13/21,188057
1/20/21,181925
1/27/21,178673
2/3/21,179678
2/10/21,190031
2/17/21,203255
2/24/21,217638
3/3/21,228766
3/10/21,231015
3/17/21,226723
3/24/21,218195
3/31/21,204797
4/7/21,193892
4/14/21,182104
4/21/21,177229
4/28/21,178480
5/5/21,190049
5/12/21,204827
5/19/21,214846
5/26/21,225364
6/2/21,228650
6/9/21,224992
6/16/21,216621
6/23/21,206476
6/30/21,190902
7/7/21,182708
7/14/21,178508
7/21/21,182329
7/28/21,189064
8/4/21,203981
8/11/21,218128
8/18/21,226932
8/25/21,229625
9/1/21,228108
9/8/21,218317
9/15/21,205199
9/22/21,192585
9/29/21,178692
10/6/21,178178
10/13/21,180833
10/20/21,192443
10/27/21,202071
11/3/21,217858
11/10/21,228176
11/17/21,230528
11/24/21,228792
12/1/21,219304
12/8/21,202169
12/15/21,194523
12/22/21,181362
12/29/21,180785
1/5/22,181037
1/12/22,192962
1/19/22,206388
1/26/22,219900
2/2/22,227811
2/9/22,229398
2/16/22,229859
2/23/22,221810
3/2/22,205294
3/9/22,193017
3/16/22,183448
3/23/22,180127
3/30/22,183762
4/6/22,194510
4/13/22,205431
4/20/22,218133
4/27/22,227657
5/4/22,234312
5/11/22,228351
5/18/22,220287
5/25/22,208587
6/1/22,192228
6/8/22,184697
6/15/22,177914
6/22/22,181123
6/29/22,194277
7/6/22,205613
7/13/22,221778
7/20/22,229395
7/27/22,229265
8/3/22,231867
8/10/22,219682
8/17/22,207475
8/24/22,194061
8/31/22,185173
9/7/22,181804
9/14/22,185516
9/21/22,194115
9/28/22,206158
10/5/22,222542
10/12/22,229029
10/19/22,233039
10/26/22,230884
11/2/22,220087
11/9/22,205284
11/16/22,195412
11/23/22,184270
11/30/22,178972
12/7/22,188458
12/14/22,195014
12/21/22,208347
12/28/22,220018
1/4/23,230013
1/11/23,235654
1/18/23,229437
1/25/23,220472
2/1/23,208007
2/8/23,192956
2/15/23,185456
2/22/23,179857
3/1/23,185202
3/8/23,194552
3/15/23,205733
3/22/23,222457
3/29/23,231963
4/5/23,236500
4/12/23,232144
4/19/23,223957
4/26/23,207651
5/3/23,196808
5/10/23,185681
5/17/23,180862
5/24/23,185366
5/31/23,195122
6/7/23,208643
6/14/23,222713
6/21/23,230520
6/28/23,236077
7/5/23,229828
7/12/23,222367
7/19/23,209152
7/26/23,194772
8/2/23,187439
8/9/23,182521
8/16/23,185950
8/23/23,196361
8/30/23,211885
9/6/23,223986
9/13/23,232690
9/20/23,238588
9/27/23,234672
10/4/23,220589
10/11/23,211092
10/18/23,198268
10/25/23,186354
11/1/23,184832
11/8/23,187769
11/15/23,197710
11/22/23,209803
11/29/23,223829
12/6/23,232934
12/13/23,236151
12/20/23,232572
12/27/23,221866
1/3/24,211211
1/10/24,196436
1/17/24,190470
1/24/24,184926
1/31/24,187435
2/7/24,195179
2/14/24,211639
2/21/24,222076
2/28/24,232544
3/6/24,237358
3/13/24,233216
