date,fruit_sales_12
3/25/20,383079
4/1/20,385666
4/8/20,382721
4/15/20,379546
4/22/20,376795
4/29/20,367212
5/6/20,368692
5/13/20,370866
5/20/20,354789
5/27/20,356309
6/3/20,365401
6/10/20,371430
6/17/20,371571
6/24/20,379431
7/1/20,379774
7/8/20,383342
7/15/20,372943
7/22/20,371365
7/29/20,359536
8/5/20,357368
8/12/20,347969
8/19/20,354158
8/26/20,359637
9/2/20,366698
9/9/20,364169
9/16/20,382550
9/23/20,376695
9/30/20,378689
10/7/20,363086
10/14/20,362816
10/21/20,356511
10/28/20,348166
11/4/20,343803
11/11/20,349770
11/18/20,345976
11/25/20,355289
12/2/20,365963
12/9/20,368519
12/16/20,366127
12/23/20,370176
12/30/20,365889
1/6/21,361922
1/13/21,347096
1/20/21,346380
1/27/21,343973
2/3/21,342725
2/10/21,342820
2/17/21,360433
2/24/21,362694
3/3/21,356239
3/10/21,363484
3/17/21,363564
3/24/21,359589
3/31/21,353036
4/7/21,341975
4/14/21,337817
4/21/21,346499
4/28/21,335467
5/5/21,342064
5/12/21,345855
5/19/21,353560
5/26/21,356629
6/2/21,357825
6/9/21,358442
6/16/21,348340
6/23/21,343563
6/30/21,339073
7/7/21,328989
7/14/21,327028
7/21/21,333730
7/28/21,338303
8/4/21,342488
8/11/21,352996
8/18/21,354609
8/25/21,353914
9/1/21,355772
9/8/21,350274
9/15/21,335760
9/22/21,337781
9/29/21,330056
10/6/21,324292
10/13/21,333137
10/20/21,331453
10/27/21,339998
11/3/21,350815
11/10/21,346993
11/17/21,351227
11/24/21,344626
12/1/21,337081
12/8/21,335246
12/15/21,333558
12/22/21,324098
12/29/21,325108
1/5/22,323184
1/12/22,331649
1/19/22,336812
1/26/22,342316
2/2/22,335215
2/9/22,338116
2/16/22,340874
2/23/22,332662
3/2/22,330311
3/9/22,323103
3/16/22,322421
3/23/22,316203
3/30/22,316243
4/6/22,324388
4/13/22,331528
4/20/22,339078
4/27/22,339457
5/4/22,342123
5/11/22,335390
5/18/22,335765
5/25/22,324105
6/1/22,317594
6/8/22,315735
6/15/22,313275
6/22/22,310209
6/29/22,321714
7/6/22,330932
7/13/22,331491
7/20/22,334916
7/27/22,336870
8/3/22,337234
8/10/22,327118
8/17/22,326173
8/24/22,313466
8/31/22,308680
9/7/22,306481
9/14/22,310966
9/21/22,312702
9/28/22,319518
10/5/22,319434
10/12/22,328972
10/19/22,333592
10/26/22,312783
11/2/22,317182
11/9/22,310147
11/16/22,323696
11/23/22,311492
11/30/22,303272
12/7/22,299044
12/14/22,300195
12/21/22,296223
12/28/22,295836
1/4/23,298441
1/11/23,309971
1/18/23,314278
1/25/23,325551
2/1/23,321686
2/8/23,324379
2/15/23,312048
2/22/23,310301
3/1/23,304305
3/8/23,302903
3/15/23,302659
3/22/23,300045
3/29/23,300113
4/5/23,304287
4/12/23,318339
4/19/23,320705
4/26/23,331120
5/3/23,319588
5/10/23,316566
5/17/23,311469
5/24/23,313015
5/31/23,299745
6/7/23,311751
6/14/23,304549
6/21/23,312107
6/28/23,312307
7/5/23,325579
7/12/23,323554
7/19/23,332394
7/26/23,328719
8/2/23,321531
8/9/23,314188
8/16/23,316886
8/23/23,301202
8/30/23,311024
9/6/23,309085
9/13/23,309317
9/20/23,328879
9/27/23,327131
10/4/23,329788
10/11/23,337657
10/18/23,333853
10/25/23,327389
11/1/23,319732
11/8/23,315810
11/15/23,312691
11/22/23,310641
11/29/23,314290
12/6/23,319220
12/13/23,326486
12/20/23,332723
12/27/23,339553
1/3/24,338567
1/10/24,333348
1/17/24,334095
1/24/24,330582
1/31/24,320990
2/7/24,312384
2/14/24,317057
2/21/24,315924
2/28/24,319359
3/6/24,331412
3/13/24,333196
