date,fruit_sales_10
3/25/20,502079
4/1/20,513666
4/8/20,506721
4/15/20,501546
4/22/20,504795
4/29/20,502212
5/6/20,500692
5/13/20,492866
5/20/20,495789
5/27/20,498309
6/3/20,499401
6/10/20,497430
6/17/20,506571
6/24/20,502431
7/1/20,502774
7/8/20,507342
7/15/20,504943
7/22/20,504365
7/29/20,504536
8/5/20,502368
8/12/20,500969
8/19/20,499158
8/26/20,497637
9/2/20,501698
9/9/20,509169
9/16/20,508550
9/23/20,509695
9/30/20,517689
10/7/20,510086
10/14/20,508816
10/21/20,503511
10/28/20,502166
11/4/20,496803
11/11/20,500770
11/18/20,504976
11/25/20,506289
12/2/20,508963
12/9/20,508519
12/16/20,510127
12/23/20,515176
12/30/20,507889
1/6/21,503922
1/13/21,511096
1/20/21,507380
1/27/21,497973
2/3/21,504725
2/10/21,495820
2/17/21,512433
2/24/21,511694
3/3/21,513239
3/10/21,509484
3/17/21,517564
3/24/21,512589
3/31/21,504036
4/7/21,505975
4/14/21,512817
4/21/21,505499
4/28/21,500467
5/5/21,506064
5/12/21,513855
5/19/21,511560
5/26/21,515629
6/2/21,516825
6/9/21,514442
6/16/21,512340
6/23/21,512563
6/30/21,507073
7/7/21,502989
7/14/21,503028
7/21/21,505730
7/28/21,515303
8/4/21,513488
8/11/21,520996
8/18/21,522609
8/25/21,516914
9/1/21,521772
9/8/21,518274
9/15/21,510760
9/22/21,509781
9/29/21,507056
10/6/21,503292
10/13/21,510137
10/20/21,513453
10/27/21,505998
11/3/21,514815
11/10/21,516993
11/17/21,521227
11/24/21,519626
12/1/21,516081
12/8/21,520246
12/15/21,503558
12/22/21,504098
12/29/21,506108
1/5/22,509184
1/12/22,508649
1/19/22,511812
1/26/22,520316
2/2/22,522215
2/9/22,526116
2/16/22,522874
2/23/22,517662
3/2/22,519311
3/9/22,513103
3/16/22,514421
3/23/22,513203
3/30/22,518243
4/6/22,513388
4/13/22,515528
4/20/22,517078
4/27/22,522457
5/4/22,519123
5/11/22,525390
5/18/22,514765
5/25/22,524105
6/1/22,508594
6/8/22,516735
6/15/22,515275
6/22/22,514209
6/29/22,513714
7/6/22,523932
7/13/22,524491
7/20/22,526916
7/27/22,520870
8/3/22,521234
8/10/22,519118
8/17/22,520173
8/24/22,515466
8/31/22,512680
9/7/22,516481
9/14/22,510966
9/21/22,517702
9/28/22,519518
10/5/22,522434
10/12/22,528972
10/19/22,525592
10/26/22,529783
11/2/22,518182
11/9/22,517147
11/16/22,528696
11/23/22,517492
11/30/22,517272
12/7/22,508044
12/14/22,516195
12/21/22,523223
12/28/22,522836
1/4/23,528441
1/11/23,528971
1/18/23,526278
1/25/23,523551
2/1/23,519686
2/8/23,519379
2/15/23,517048
2/22/23,520301
3/1/23,520305
3/8/23,521903
3/15/23,519659
3/22/23,527045
3/29/23,529113
4/5/23,531287
4/12/23,531339
4/19/23,525705
4/26/23,530120
5/3/23,524588
5/10/23,521566
5/17/23,517469
5/24/23,516015
5/31/23,518745
6/7/23,526751
6/14/23,529549
6/21/23,532107
6/28/23,535307
7/5/23,535579
7/12/23,532554
7/19/23,526394
7/26/23,519719
8/2/23,514531
8/9/23,519188
8/16/23,522886
8/23/23,525202
8/30/23,523024
9/6/23,526085
9/13/23,527317
9/20/23,534879
9/27/23,531131
10/4/23,532788
10/11/23,528657
10/18/23,525853
10/25/23,521389
11/1/23,521732
11/8/23,525810
11/15/23,534691
11/22/23,533641
11/29/23,532290
12/6/23,535220
12/13/23,535486
12/20/23,539723
12/27/23,530553
1/3/24,530567
1/10/24,529348
1/17/24,518095
1/24/24,527582
1/31/24,526990
2/7/24,524384
2/14/24,531057
2/21/24,529924
2/28/24,536359
3/6/24,537412
3/13/24,537196
