date,fruit_sales_9
3/25/20,251665
4/1/20,252762
4/8/20,253143
4/15/20,255661
4/22/20,248542
4/29/20,248407
5/6/20,242277
5/13/20,242896
5/20/20,241594
5/27/20,240099
6/3/20,239037
6/10/20,242315
6/17/20,246487
6/24/20,242309
7/1/20,245997
7/8/20,244461
7/15/20,241009
7/22/20,239961
7/29/20,238974
8/5/20,232249
8/12/20,231886
8/19/20,229241
8/26/20,232086
9/2/20,235345
9/9/20,236452
9/16/20,237785
9/23/20,235525
9/30/20,234893
10/7/20,234940
10/14/20,233149
10/21/20,230544
10/28/20,227702
11/4/20,224810
11/11/20,224312
11/18/20,225694
11/25/20,225261
12/2/20,228151
12/9/20,231721
12/16/20,229952
12/23/20,227159
12/30/20,228899
1/6/21,219613
1/13/21,219628
1/20/21,217860
1/27/21,216933
2/3/21,219567
2/10/21,216620
2/17/21,217077
2/24/21,220387
3/3/21,222868
3/10/21,225228
3/17/21,220420
3/24/21,215725
3/31/21,215334
4/7/21,212861
4/14/21,211418
4/21/21,208448
4/28/21,208837
5/5/21,209521
5/12/21,212658
5/19/21,210477
5/26/21,215843
6/2/21,213025
6/9/21,213214
6/16/21,212618
6/23/21,212877
6/30/21,205622
7/7/21,202245
7/14/21,201391
7/21/21,204757
7/28/21,204737
8/4/21,202388
8/11/21,206589
8/18/21,203978
8/25/21,205675
9/1/21,205716
9/8/21,203243
9/15/21,198139
9/22/21,198203
9/29/21,197582
10/6/21,193403
10/13/21,192910
10/20/21,192397
10/27/21,196468
11/3/21,196913
11/10/21,196679
11/17/21,199918
11/24/21,193583
12/1/21,194219
12/8/21,192385
12/15/21,190209
12/22/21,191057
12/29/21,184696
1/5/22,183864
1/12/22,184812
1/19/22,185346
1/26/22,190335
2/2/22,189148
2/9/22,188985
2/16/22,190754
2/23/22,186031
3/2/22,188691
3/9/22,181541
3/16/22,180904
3/23/22,177172
3/30/22,180494
4/6/22,176252
4/13/22,180803
4/20/22,179305
4/27/22,182549
5/4/22,183052
5/11/22,179619
5/18/22,179625
5/25/22,174637
6/1/22,174912
6/8/22,170575
6/15/22,173132
6/22/22,168300
6/29/22,171238
7/6/22,173766
7/13/22,170587
7/20/22,172050
7/27/22,175200
8/3/22,172663
8/10/22,175540
8/17/22,168519
8/24/22,165820
8/31/22,164103
9/7/22,164236
9/14/22,162838
9/21/22,161684
9/28/22,165588
10/5/22,166413
10/12/22,165208
10/19/22,165543
10/26/22,168083
11/2/22,161507
11/9/22,159740
11/16/22,158799
11/23/22,157475
11/30/22,157435
12/7/22,155845
12/14/22,154107
12/21/22,154535
12/28/22,158278
1/4/23,159496
1/11/23,158255
1/18/23,159854
1/25/23,155527
2/1/23,151676
2/8/23,147609
2/15/23,149937
2/22/23,145445
3/1/23,146372
3/8/23,147317
3/15/23,150042
3/22/23,149423
3/29/23,154962
4/5/23,152659
4/12/23,149673
4/19/23,150373
4/26/23,146738
5/3/23,143015
5/10/23,138802
5/17/23,140988
5/24/23,139953
5/31/23,137574
6/7/23,142797
6/14/23,143941
6/21/23,143471
6/28/23,147518
7/5/23,142741
7/12/23,141862
7/19/23,139699
7/26/23,138178
8/2/23,133651
8/9/23,132152
8/16/23,131776
8/23/23,132147
8/30/23,134473
9/6/23,133611
9/13/23,136184
9/20/23,134393
9/27/23,137199
10/4/23,132426
10/11/23,130555
10/18/23,130430
10/25/23,125258
11/1/23,123242
11/8/23,123443
11/15/23,124343
11/22/23,127484
11/29/23,127761
12/6/23,128458
12/13/23,124185
12/20/23,127142
12/27/23,125645
1/3/24,121104
1/10/24,120040
1/17/24,117431
1/24/24,117580
1/31/24,115455
2/7/24,117422
2/14/24,121408
2/21/24,118608
2/28/24,119141
3/6/24,122850
3/13/24,119817
