date,fruit_sales_1
4/1/20,388603
5/1/20,398516
6/1/20,416077
7/1/20,403873
8/1/20,392537
9/1/20,357720
10/1/20,341292
11/1/20,325072
12/1/20,324171
1/1/21,338838
2/1/21,342510
3/1/21,370489
4/1/21,394891
5/1/21,414435
6/1/21,424090
7/1/21,430133
8/1/21,401730
9/1/21,384470
10/1/21,354827
11/1/21,335010
12/1/21,329880
1/1/22,345714
2/1/22,362808
3/1/22,381963
4/1/22,415822
5/1/22,424922
6/1/22,434906
7/1/22,430604
8/1/22,411367
9/1/22,388547
10/1/22,371844
11/1/22,360254
12/1/22,340246
1/1/23,349372
2/1/23,376484
3/1/23,391156
4/1/23,425319
5/1/23,438327
6/1/23,458622
7/1/23,448525
8/1/23,421912
9/1/23,404582
10/1/23,382037
11/1/23,366162
12/1/23,356562
1/1/24,362792
2/1/24,380739
3/1/24,405257
