HHuniqueID,DefaultOnRecord,RecentBalance,HHInsurance,CarLoan
HHd4d0af8c72,0,1218,1,0
HH8d3e87c164,0,1156,1,0
HHdd53ef1db6,0,637,1,0
HH6fa0de6516,0,373,1,0
HHeb436ca7cf,0,2694,0,0
HH5119beb3cd,0,1625,0,0
HH3a1172a4ab,0,1000,1,0
HHac2e1c4845,0,538,1,0
HH76d6ee152b,0,187,1,0
HHa2c59d2e2f,0,3,1,1
HH9122fe2c6a,0,0,0,0
HH50d5899425,1,-462,0,0
HH40d6625b07,0,2776,1,0
HH1053609743,0,2674,1,0
HHb47e7d94d5,0,2022,0,0
HHbee88255e4,0,2,0,0
HH07334114dc,0,69,1,0
HH51808510b3,0,7331,0,0
HH549e143536,0,2039,1,0
HH06633a4031,0,82,0,0
HH380dc273c1,0,773,1,1
HH5f28bd7f6b,0,8304,0,0
HHde2d5f4d9e,0,0,0,0
HH6a0fa7c63b,0,2896,0,0
HH8e04382632,0,824,1,0
HH0ebd23807e,0,900,0,0
HH59fe0827b8,0,3859,0,1
HH48790e8956,0,0,0,0
HH913b2fe6bb,0,-62,1,0
HH24bba1e369,0,832,0,0
HH787bde3633,0,0,0,0
HH0a030f0318,0,6981,1,0
HHaf7e5b31f8,0,842,0,0
HHf30d125723,0,1057,0,0
HH721e8c3433,0,1698,1,0
HHe835fc18ba,0,300,1,0
HH93e22eeed0,0,664,1,1
HH8c678e794f,0,0,1,0
HH664b64fca0,0,138,1,0
HHadfa1ce0fe,0,216,1,1
HH08c38e550a,0,3935,1,0
HH696b12b944,0,327,1,0
HH6f356470f8,0,2707,0,0
HH67b362e719,0,2574,1,0
HH1d6ceaedcc,0,70,0,0
HHe0678b0f6a,0,0,1,0
HHf4c6f20e60,0,283,1,0
HH61f7237347,0,79,0,0
HH5bf0d252e3,0,13,0,0
HHd1a8601d10,0,464,0,0
HH2a31912b90,0,0,1,0
HH50f9a43871,0,17,0,0
HHf50b8026c1,0,4420,1,1
HHc6c517ee4e,0,3208,0,0
HHbcb018830e,0,326,0,1
HHa70fb3918e,0,52,0,0
HH301d7478c4,0,457,1,0
HH7b4fa1e31c,0,1187,0,1
HHef87ab562c,0,6013,1,0
HH2d81042181,0,5091,0,0
HHe5272f3e75,0,0,0,0
HHa60c5c38d7,0,11887,0,0
HHeb71dc4a1a,0,608,0,0
HHe59d1b62ec,0,-46,0,0
HH2b0fec4129,0,0,1,0
HH1863fe3c06,0,473,0,0
HHd4f65a8732,0,1955,0,0
HH25a8b233b0,0,860,1,0
HH13a4034e11,0,2689,1,0
HH1a5c1f03b4,0,3768,1,0
HH26c0a747fd,0,66,1,0
HHe127b2b7a7,0,494,1,0
HH9fb8de2497,0,1298,0,0
HHa4599f6cf2,0,0,1,0
HHbb2c74cd56,0,0,0,0
HH80a864dee0,0,3450,0,0
HH6d7bd75027,0,903,1,0
HHba012e4b8f,0,722,1,0
HHee9033b580,0,11350,1,0
HH3e484b0b89,0,556,1,0
HHb539944d00,0,716,1,0
HHb1ae8c200f,0,143,0,0
HH553a65578b,0,802,1,1
HHada635be07,0,25824,0,0
HHa372f18f9a,0,518,0,0
HH56eb96495c,0,0,0,0
HH7250e97d65,1,-94,1,1
HHa39c74bf85,0,210,1,0
HHfd0ca0e875,0,60,1,0
HH2dca085566,0,663,0,0
HH7fb9c920bd,0,830,1,1
HH54b683268b,0,-147,1,0
HH30a66315e9,0,6,1,0
HHba4306ceeb,0,1263,1,0
HH1ea622dd93,0,293,1,0
HH82e96fe9ad,0,446,0,0
HH3613182013,0,657,0,1
HH143fef2fa3,0,48,0,0
HHcc7f1f0528,0,3969,0,0
HHbff59feb61,0,103,0,0
HH3008ead5b0,0,753,0,0
HH58def17f56,0,3285,1,0
HH7b7b089be4,0,9299,0,0
HH3eb40e367f,0,9367,0,0
HH5b25e5dad6,0,7162,0,0
HH120025957a,0,1699,0,0
HH4325b23bc0,0,437,1,0
HH6b16c26d75,0,69,0,0
HH76cc97573e,0,388,0,0
HH455935cfb3,0,339,0,1
HH658a5d29f5,0,49,1,0
HHd96675f397,0,3370,0,0
HHde2575c1bf,0,-366,1,0
HHbb44460976,0,2667,1,0
HHad6f53eeae,0,899,1,0
HHab96afc4de,0,1331,0,0
HHea2c60536b,0,4151,1,1
HHc4d3f71f90,0,569,0,0
HH4203ba42df,0,1514,0,0
HH63eeee394e,1,0,0,0
HH1660e2d94d,0,6101,0,0
HH7b8a8ac364,0,461,0,0
HH73aed61889,0,2331,0,0
HHe939293e89,0,519,0,0
HH316179b722,0,3109,0,0
HH516248cf1c,0,11,0,1
HH3e2f631f85,0,53,0,0
HHfda17621a9,0,699,1,1
HHd7b17d15eb,0,3300,0,0
HH565b1f470d,0,251,1,0
HHf13fc288db,0,318,0,1
HH1bb8f13f8a,0,2724,0,0
HHdcdb591f50,0,5157,0,0
HHc5e24892ac,0,1762,1,0
HH1ce2f2f7f1,0,343,0,1
HH822a6012d6,0,368,0,0
HH20126da885,0,1968,0,0
HHc3ac5858f6,0,302,0,0
HH83a106c735,0,60,1,0
HHa2b3d9d97c,0,0,0,0
HHee6750e326,0,3092,1,1
HHe99d5ea598,0,1058,0,0
HH320c5cbe5e,0,53,0,1
