timestamp,Apple,Amazon,Salesforce,CVS,Facebook,Google,IBM,Coca-Cola,Pfizer,UPS
2015-02-26 21:42:53,104,57.0,11,0.0,53.0,35.0,7.0,8.0,3.0,2.0
2015-02-26 21:47:53,100,43.0,10,0.0,64.0,41.0,4.0,8.0,2.0,2.0
2015-02-26 21:52:53,99,55.0,3,0.0,49.0,32.0,14.0,5.0,2.0,4.0
2015-02-26 21:57:53,154,64.0,4,0.0,48.0,36.0,6.0,13.0,36.0,3.0
2015-02-26 22:02:53,120,93.0,9,0.0,22.0,32.0,1.0,22.0,8.0,5.0
2015-02-26 22:07:53,90,104.0,2,0.0,23.0,25.0,9.0,17.0,4.0,1.0
2015-02-26 22:12:53,92,89.0,4,0.0,17.0,33.0,7.0,12.0,1.0,1.0
2015-02-26 22:17:53,71,87.0,7,0.0,35.0,20.0,11.0,7.0,3.0,2.0
2015-02-26 22:22:53,339,57.0,5,0.0,23.0,38.0,9.0,10.0,2.0,8.0
2015-02-26 22:27:53,178,68.0,10,1.0,39.0,28.0,14.0,13.0,0.0,4.0
2015-02-26 22:32:53,144,64.0,4,1.0,26.0,28.0,7.0,6.0,1.0,2.0
2015-02-26 22:37:53,143,61.0,6,0.0,33.0,27.0,6.0,10.0,1.0,3.0
2015-02-26 22:42:53,179,73.0,6,1.0,51.0,30.0,6.0,17.0,1.0,1.0
2015-02-26 22:47:53,245,79.0,2,0.0,41.0,31.0,11.0,8.0,1.0,5.0
2015-02-26 22:52:53,166,80.0,2,0.0,34.0,38.0,8.0,7.0,1.0,4.0
2015-02-26 22:57:53,139,76.0,9,0.0,38.0,35.0,13.0,11.0,1.0,6.0
2015-02-26 23:02:53,112,49.0,10,0.0,45.0,33.0,6.0,11.0,1.0,1.0
2015-02-26 23:07:53,95,59.0,4,1.0,42.0,24.0,6.0,10.0,1.0,3.0
2015-02-26 23:12:53,70,55.0,5,1.0,39.0,28.0,3.0,6.0,0.0,9.0
2015-02-26 23:17:53,74,48.0,4,1.0,40.0,20.0,6.0,7.0,1.0,4.0
2015-02-26 23:22:53,88,41.0,4,0.0,24.0,35.0,5.0,16.0,0.0,2.0
2015-02-26 23:27:53,75,49.0,6,0.0,36.0,29.0,4.0,5.0,3.0,4.0
2015-02-26 23:32:53,77,63.0,5,1.0,18.0,24.0,6.0,11.0,0.0,1.0
2015-02-26 23:37:53,110,36.0,2,0.0,25.0,24.0,5.0,9.0,0.0,4.0
2015-02-26 23:42:53,83,42.0,1,0.0,21.0,33.0,5.0,22.0,0.0,6.0
2015-02-26 23:47:53,66,50.0,5,0.0,13.0,36.0,4.0,4.0,1.0,4.0
2015-02-26 23:52:53,59,35.0,5,4.0,7.0,18.0,2.0,14.0,0.0,5.0
2015-02-26 23:57:53,64,41.0,9,2.0,18.0,28.0,4.0,21.0,1.0,6.0
2015-02-27 00:02:53,72,39.0,3,1.0,18.0,20.0,5.0,9.0,2.0,2.0
2015-02-27 00:07:53,71,48.0,5,0.0,28.0,59.0,5.0,9.0,1.0,4.0
2015-02-27 00:12:53,53,31.0,1,1.0,14.0,41.0,1.0,6.0,0.0,2.0
2015-02-27 00:17:53,61,35.0,3,1.0,25.0,97.0,6.0,7.0,1.0,1.0
2015-02-27 00:22:53,73,32.0,2,0.0,26.0,61.0,3.0,7.0,0.0,2.0
2015-02-27 00:27:53,71,36.0,1,2.0,15.0,105.0,6.0,6.0,1.0,2.0
2015-02-27 00:32:53,66,37.0,0,2.0,16.0,52.0,8.0,15.0,0.0,6.0
2015-02-27 00:37:53,42,62.0,3,1.0,20.0,30.0,3.0,10.0,2.0,6.0
2015-02-27 00:42:53,59,41.0,2,1.0,13.0,23.0,10.0,7.0,0.0,3.0
2015-02-27 00:47:53,39,51.0,3,0.0,19.0,26.0,7.0,6.0,0.0,4.0
2015-02-27 00:52:53,49,65.0,1,0.0,13.0,43.0,3.0,9.0,1.0,3.0
2015-02-27 00:57:53,51,39.0,5,0.0,17.0,24.0,6.0,8.0,0.0,4.0
2015-02-27 01:02:53,44,56.0,2,1.0,14.0,41.0,8.0,13.0,1.0,5.0
2015-02-27 01:07:53,45,42.0,7,0.0,24.0,24.0,11.0,7.0,1.0,2.0
2015-02-27 01:12:53,36,62.0,4,0.0,19.0,33.0,6.0,5.0,0.0,8.0
2015-02-27 01:17:53,36,46.0,7,0.0,8.0,20.0,1.0,7.0,0.0,4.0
2015-02-27 01:22:53,34,46.0,1,0.0,10.0,21.0,2.0,16.0,0.0,5.0
2015-02-27 01:27:53,45,62.0,5,0.0,9.0,34.0,6.0,7.0,0.0,6.0
2015-02-27 01:32:53,45,41.0,1,1.0,17.0,39.0,5.0,12.0,0.0,4.0
2015-02-27 01:37:53,42,40.0,0,0.0,9.0,41.0,5.0,10.0,0.0,6.0
2015-02-27 01:42:53,61,47.0,3,0.0,16.0,48.0,9.0,7.0,0.0,9.0
2015-02-27 01:47:53,50,48.0,2,0.0,17.0,28.0,6.0,9.0,0.0,7.0
2015-02-27 01:52:53,43,43.0,2,0.0,17.0,32.0,2.0,11.0,0.0,5.0
2015-02-27 01:57:53,46,41.0,5,1.0,22.0,26.0,4.0,26.0,1.0,6.0
2015-02-27 02:02:53,41,55.0,0,0.0,13.0,18.0,8.0,13.0,0.0,6.0
2015-02-27 02:07:53,61,90.0,2,0.0,13.0,17.0,8.0,7.0,1.0,5.0
2015-02-27 02:12:53,171,79.0,2,0.0,15.0,25.0,10.0,9.0,1.0,2.0
2015-02-27 02:17:53,95,57.0,2,0.0,7.0,25.0,2.0,10.0,1.0,1.0
2015-02-27 02:22:53,60,43.0,5,0.0,29.0,32.0,3.0,14.0,0.0,2.0
2015-02-27 02:27:53,65,39.0,4,2.0,62.0,94.0,2.0,22.0,1.0,2.0
2015-02-27 02:32:53,55,57.0,0,0.0,26.0,39.0,2.0,6.0,0.0,3.0
2015-02-27 02:37:53,58,56.0,2,0.0,28.0,23.0,9.0,8.0,1.0,4.0
2015-02-27 02:42:53,51,102.0,2,1.0,85.0,73.0,6.0,6.0,0.0,4.0
2015-02-27 02:47:53,48,85.0,4,0.0,70.0,31.0,5.0,14.0,2.0,2.0
2015-02-27 02:52:53,42,79.0,2,0.0,36.0,30.0,2.0,26.0,1.0,5.0
2015-02-27 02:57:53,35,82.0,0,0.0,39.0,35.0,8.0,5.0,1.0,3.0
2015-02-27 03:02:53,37,60.0,2,1.0,28.0,23.0,0.0,4.0,0.0,3.0
2015-02-27 03:07:53,35,47.0,2,1.0,40.0,49.0,9.0,19.0,3.0,1.0
2015-02-27 03:12:53,33,43.0,3,0.0,176.0,187.0,9.0,18.0,3.0,3.0
2015-02-27 03:17:53,44,49.0,1,0.0,205.0,203.0,1.0,14.0,0.0,4.0
2015-02-27 03:22:53,93,60.0,3,0.0,164.0,175.0,8.0,15.0,0.0,2.0
2015-02-27 03:27:53,107,55.0,2,0.0,116.0,112.0,2.0,31.0,0.0,3.0
2015-02-27 03:32:53,67,63.0,3,1.0,14.0,22.0,2.0,12.0,0.0,2.0
2015-02-27 03:37:53,77,57.0,1,0.0,23.0,24.0,2.0,8.0,1.0,0.0
2015-02-27 03:42:53,42,61.0,2,0.0,18.0,12.0,1.0,12.0,0.0,3.0
2015-02-27 03:47:53,41,59.0,4,0.0,17.0,26.0,3.0,10.0,0.0,2.0
2015-02-27 03:52:53,41,35.0,1,0.0,18.0,16.0,2.0,8.0,1.0,5.0
2015-02-27 03:57:53,61,69.0,1,0.0,19.0,14.0,4.0,14.0,0.0,2.0
2015-02-27 04:02:53,44,48.0,2,1.0,18.0,19.0,3.0,10.0,0.0,1.0
2015-02-27 04:07:53,27,47.0,0,0.0,21.0,21.0,1.0,9.0,1.0,0.0
2015-02-27 04:12:53,37,44.0,1,0.0,21.0,18.0,2.0,6.0,1.0,0.0
2015-02-27 04:17:53,36,47.0,0,0.0,15.0,12.0,1.0,9.0,1.0,0.0
2015-02-27 04:22:53,49,51.0,2,3.0,11.0,25.0,1.0,14.0,0.0,1.0
2015-02-27 04:27:53,36,54.0,2,0.0,22.0,17.0,3.0,8.0,0.0,0.0
2015-02-27 04:32:53,41,41.0,1,0.0,13.0,21.0,2.0,10.0,0.0,1.0
2015-02-27 04:37:53,32,53.0,2,0.0,5.0,18.0,1.0,10.0,1.0,4.0
2015-02-27 04:42:53,50,49.0,1,0.0,18.0,22.0,2.0,8.0,2.0,1.0
2015-02-27 04:47:53,43,23.0,2,0.0,16.0,23.0,3.0,8.0,0.0,0.0
2015-02-27 04:52:53,50,31.0,2,0.0,14.0,26.0,4.0,8.0,0.0,0.0
2015-02-27 04:57:53,47,38.0,3,2.0,19.0,33.0,60.0,5.0,0.0,0.0
2015-02-27 05:02:53,50,57.0,3,2.0,14.0,26.0,0.0,10.0,0.0,1.0
2015-02-27 05:07:53,45,56.0,2,0.0,7.0,16.0,2.0,4.0,2.0,0.0
2015-02-27 05:12:53,56,70.0,2,0.0,17.0,15.0,1.0,24.0,1.0,1.0
2015-02-27 05:17:53,40,57.0,1,0.0,10.0,7.0,1.0,54.0,0.0,5.0
2015-02-27 05:22:53,32,64.0,0,0.0,12.0,14.0,1.0,82.0,1.0,2.0
2015-02-27 05:27:53,57,79.0,1,0.0,23.0,11.0,0.0,25.0,0.0,1.0
