"tmpID","ReligiousContributorInHome","PoliticalContributerInHome","DonatesEnvironmentCauseInHome","DonatesToCharityInHome","DonatestoAnimalWelfare","DonatestoArtsandCulture","DonatestoChildrensCauses","DonatestoHealthcare","DonatestoInternationalAidCauses","DonatestoVeteransCauses","DonatestoHealthcare1","DonatestoInternationalAidCauses1","DonatestoWildlifePreservation","DonatestoLocalCommunity"
1504,"1 religious contribution  in home","","Unknown","Unknown","","","","","","","","","",""
328,"1 religious contribution  in home","","Unknown","Yes","Yes","","","","","","","","",""
5448,"","","Unknown","Unknown","","","","","","","","","",""
3907,"","","Unknown","Yes","","","","","","","","","",""
1728,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
3716,"","","Unknown","Yes","","","","","","","","","",""
1920,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
5190,"","","Unknown","Yes","","","","","","","","","",""
4395,"","","Unknown","Yes","","","","","","","","","",""
1458,"","","Unknown","Yes","","","","","","","","","",""
4835,"","","Unknown","Unknown","","","","","","","","","",""
5943,"","","Unknown","Unknown","","","","","","","","","","Yes"
2090,"","","Unknown","Unknown","","","","","","Yes","","","Yes","Yes"
491,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
3909,"","","Unknown","Unknown","","","Yes","Yes","","","Yes","","Yes","Yes"
51,"","","Unknown","Yes","","","","Yes","","","Yes","","","Yes"
1732,"","","Unknown","Unknown","","","","Yes","","Yes","Yes","","","Yes"
953,"","","Yes","Yes","","","","","","","","","",""
2483,"","","Unknown","Yes","","","","","","","","","","Yes"
1230,"","","Unknown","Yes","","","","","","","","","",""
5239,"","","Unknown","Unknown","Yes","","","","","","","","",""
261,"","","Unknown","Unknown","","","","Yes","","","Yes","","","Yes"
947,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","Yes",""
217,"","1 political contribution  in home","Unknown","Unknown","","","","","","","","","",""
3022,"","","Unknown","Unknown","","","","","","","","","",""
2076,"","","Yes","Yes","","","","","","","","","",""
867,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","",""
1459,"","","Unknown","Unknown","Yes","","","","","","","","","Yes"
419,"","1 political contribution  in home","Unknown","Yes","","","","","","","","","","Yes"
3386,"","","Unknown","Yes","Yes","","","","","","","","",""
1203,"","","Unknown","Unknown","","","","Yes","","","Yes","","",""
5578,"","","Unknown","Yes","","","","Yes","","","Yes","","Yes","Yes"
639,"","","Unknown","Unknown","","","","","","","","","","Yes"
3712,"","","Unknown","Yes","","","","","","","","","",""
3375,"","","Unknown","Unknown","","","","","","Yes","","","","Yes"
1545,"","","Unknown","Yes","","","","Yes","","","Yes","","","Yes"
4474,"","","Unknown","Yes","","","","","","","","","",""
4444,"","","Unknown","Yes","","","","","","","","","",""
5274,"","","Unknown","Unknown","","","","","","","","","",""
1817,"","","Unknown","Yes","","","","","","","","","",""
