"tmpID","ResidenceHHGenderDescription","EthnicDescription","BroadEthnicGroupings","PresenceOfChildrenCode","ISPSA","HomeOwnerRenter","MosaicZ4","MedianEducationYears","NetWorth","Investor","BusinessOwner","Education","OccupationIndustry","HorseOwner","CatOwner","DogOwner","OtherPetOwner","HomeOffice","BookBuyerInHome","UpscaleBuyerInHome","BuyerofAntiquesinHousehold","BuyerofArtinHousehold","GeneralCollectorinHousehold","BooksAudioReadinginHousehold","ComputerOwnerInHome"
5126,"Female Only Household","","","Known Data",8,"Likely Homeowner","",13,"$50000-99999","Yes","","Grad Degree - Likely","Unknown","","","","","","","1 upscale merchandise purchase ","","","Yes","","Yes"
1589,"Female Only Household","Chinese","German","Not Likely to have a child",7,"Likely Homeowner","",14,"$250000-499999","","","Some College - Likely","Management","","Yes","","","Yes","","","","","","","Yes"
7751,"Mixed Gender Household","Likely Af-Am (Modeled)","German","Not Likely to have a child",0,"Likely Homeowner","",12,"$25000-49999","Yes","","HS Diploma - Extremely Likely","Financial Services","","","","","","3 book purchases in home","5 upscale merchandise purchases","","","","","Yes"
12846,"Female Only Household","Dutch (Netherlands)","English/Welsh","Modeled Likely to have a child",9,"Likely Homeowner","No Place like Home",15,"$50000-99999","","","Grad Degree - Extremely Likely","Unknown","","","Yes","","","","","","","Yes","","Yes"
3217,"Mixed Gender Household","English/Welsh","Irish","Not Likely to have a child",7,"Likely Homeowner","",13,"$499999+","","","Bach Degree - Extremely Likely","Unknown","","","","","Yes","","","","","Yes","","Yes"
13548,"Mixed Gender Household","Irish","German","Not Likely to have a child",9,"Likely Homeowner","Bohemian Groove",16,"$250000-499999","","","Bach Degree - Extremely Likely","Unknown","","","","","","","","","","","","Yes"
9547,"Mixed Gender Household","English/Welsh","Dutch (Netherlands)","Known Data",9,"Likely Homeowner","",14,"$499999+","","","Grad Degree - Extremely Likely","Unknown","","","","","","","","","","Yes","","Yes"
4995,"Mixed Gender Household","German","English/Welsh","",9,"Likely Homeowner","",16,"$250000-499999","Yes","","Bach Degree - Likely","Unknown","","Yes","","","","","","","Yes","","","Unknown"
7461,"Mixed Gender Household","","English/Welsh","Modeled Not as Likely to have a child",1,"Likely Renter","",16,"$100000-249999","Yes","","Bach Degree - Extremely Likely","Unknown","","","Yes","","","","","","","","","Unknown"
7839,"Female Only Household","German","English/Welsh","Known Data",9,"","",13,"$250000-499999","","","Grad Degree - Likely","Unknown","","","Yes","Yes","Yes","1 book purchase in home ","","","","","","Unknown"
7477,"Male Only Household","German","Italian","Known Data",8,"Likely Homeowner","",16,"","","","Bach Degree - Extremely Likely","Management","","","","","Yes","","","","","","","Unknown"
11622,"Mixed Gender Household","Dutch (Netherlands)","German","Not Likely to have a child",6,"Likely Homeowner","",12,"$100000-249999","Yes","","Bach Degree - Extremely Likely","Unknown","","","Yes","","","","","","","","","Yes"
8713,"Mixed Gender Household","English/Welsh","English/Welsh","",8,"Likely Homeowner","",12,"","Yes","","Bach Degree - Likely","Unknown","","","","","","","","","","Yes","","Unknown"
881,"Female Only Household","English/Welsh","Likely Af-Am (Modeled)","Not Likely to have a child",9,"Likely Homeowner","",13,"$100000-249999","","","Unknown","Management","","","","","","1 book purchase in home ","","","","","","Yes"
10894,"Male Only Household","English/Welsh","Italian","Not Likely to have a child",2,"Likely Homeowner","",15,"$499999+","","","Grad Degree - Likely","Unknown","","","","","Yes","3 book purchases in home","","","Yes","Yes","","Yes"
3578,"Male Only Household","English/Welsh","Irish","Not Likely to have a child",7,"Likely Renter","",14,"","Yes","","HS Diploma - Extremely Likely","Unknown","","","","","","","","","","","","Yes"
5460,"Mixed Gender Household","English/Welsh","Irish","Modeled Likely to have a child",7,"Likely Homeowner","",13,"","Yes","","Unknown","Unknown","","","","","","","","","","","","Yes"
8468,"Female Only Household","English/Welsh","Arab","Modeled Likely to have a child",5,"Likely Homeowner","",16,"$50000-99999","Yes","","Grad Degree - Extremely Likely","Unknown","","","","","","","","","","","","Yes"
13792,"Mixed Gender Household","German","English/Welsh","Not Likely to have a child",9,"Likely Homeowner","",14,"$100000-249999","","","Grad Degree - Extremely Likely","Unknown","","","","","","7 book purchases in home","","","","","","Unknown"
14115,"Male Only Household","English/Welsh","English/Welsh","Modeled Not as Likely to have a child",9,"Likely Renter","",15,"$25000-49999","","","Unknown","Unknown","","","","Yes","Yes","1 book purchase in home ","","","","","","Yes"
6610,"Mixed Gender Household","English/Welsh","Likely Af-Am (Modeled)","Known Data",9,"Likely Homeowner","",16,"$100000-249999","","","Unknown","Other","","","","","","","2 upscale merchandise purchases","","","Yes","","Yes"
8467,"Mixed Gender Household","Irish","English/Welsh","Not Likely to have a child",6,"Likely Homeowner","",12,"$250000-499999","Yes","","Bach Degree - Extremely Likely","Other","","","","","Yes","","","","Yes","","","Yes"
13139,"Mixed Gender Household","Japanese","Likely Af-Am (Modeled)","Not Likely to have a child",NA,"Likely Homeowner","Rooted Flower Power",13,"$499999+","Yes","","Unknown","Medical","","","","","","","","","","","","Yes"
6004,"Mixed Gender Household","English/Welsh","Irish","",6,"Likely Homeowner","",15,"$250000-499999","Yes","","HS Diploma - Extremely Likely","Clerical/Office","","","","","Yes","","","","Yes","","","Yes"
9329,"Mixed Gender Household","Likely Af-Am (Modeled)","English/Welsh","Not Likely to have a child",7,"Likely Homeowner","",12,"$50000-99999","","","Grad Degree - Likely","Manufacturing","","","","","","","","","","Yes","","Yes"
6994,"Mixed Gender Household","English/Welsh","English/Welsh","Known Data",9,"Likely Homeowner","Reaping Rewards",15,"","","","Some College -Extremely Likely","Clerical/Office","","","","","","","","","Yes","Yes","","Yes"
14933,"Mixed Gender Household","Croatian","","",4,"Likely Homeowner","",14,"$50000-99999","Yes","","Grad Degree - Extremely Likely","Unknown","","Yes","","Yes","","","","","","","","Yes"
5442,"Mixed Gender Household","English/Welsh","English/Welsh","Not Likely to have a child",5,"Likely Renter","",15,"","Yes","","Unknown","Unknown","","","","","","1 book purchase in home ","","","","","","Yes"
1914,"Mixed Gender Household","","Korean","Not Likely to have a child",9,"Likely Homeowner","",12,"$250000-499999","Yes","","Bach Degree - Extremely Likely","Unknown","","","Yes","","","3 book purchases in home","","","","","","Unknown"
11365,"Mixed Gender Household","Likely Af-Am (Modeled)","German","Modeled Likely to have a child",1,"Likely Homeowner","",15,"$5000-9999","Yes","Yes","Unknown","Unknown","","","","","","","","","","","","Unknown"
1378,"Mixed Gender Household","English/Welsh","English/Welsh","Modeled Not as Likely to have a child",8,"Likely Homeowner","",14,"","","","Some College -Extremely Likely","Medical","","","","","Yes","","","","Yes","Yes","","Yes"
1388,"Male Only Household","Irish","Scots","Not Likely to have a child",2,"Likely Homeowner","",14,"$100000-249999","Yes","","HS Diploma - Extremely Likely","Manufacturing","","","","","Yes","","","","","Yes","","Unknown"
9020,"Mixed Gender Household","English/Welsh","English/Welsh","Modeled Not as Likely to have a child",8,"Likely Renter","",16,"$50000-99999","","","Grad Degree - Extremely Likely","Unknown","","Yes","","","Yes","2 book purchases in home","","","Yes","Yes","","Yes"
8090,"Mixed Gender Household","English/Welsh","English/Welsh","",7,"Likely Renter","",15,"","","","Bach Degree - Extremely Likely","Unknown","","","","Yes","","","","","","","","Unknown"
