"docID","rawText"
"1267545475747627008","RT @_sweetgangster_: Vica secretly(?) gazing at Jack. It's obvious how she feels about him but what about our pumpkin guy?

#panaceagame #t…"
"1267992672255475712","Don’t put up unnecessary walls. 

📸 @singaporemaven 

#covid19 #stayhome  #Scotland #VisitScotland #StayHomeMusings… https://t.co/pZ0unvzsa5"
"1267658203115876352","RT @IDPCAsia: Around the world, #prisons are becoming increasingly overcrowded. #Humanrights abuses are rampant, from denial of basic #heal…"
"1267547663580508160","RT @Barbarellen: All this reminds me of a zombie movie I went to see years ago. People were so ingrained with the habit of shopping, that t…"
"1267929184632025088","srry for spam but inverted the first rainbow flag one cus i might like it better like this https://t.co/uOKO9mvjdf"
"1267992146813939712","@duncantrussell
I'm organizing a """"Zombie Crawl"""" in downtown Los Angeles for tomorrow night.

Let's really scare the… https://t.co/WrvApagFx3"
"1267487375845756928","Welcome to phase 1 of the zombie apocalypse."
"1268006417174351872","I was so excited to vote 4 @NYCMayor I did it 2ce. It was my 1st time voting and I researched who to chose and felt… https://t.co/mHFH4Ormdz"
"1267957907733262336","RT @CantGuardCourt: Denver said it would not arrest protesters for being out past curfew and look at the results"
"1267592639538442240","@freaky_mahdi I cant 😭😭😭😭😭😭😭😭😭😭 i was thinking how can i fix that"
"1267655484720455680","RT @NehaBhagat_jk: First leader to respond nd alert the govt.on #COVID19 nd economic crises -@RahulGandhi

First leader to demand for stimu…"
"1267294605009133568","#Antifa suck it https://t.co/bttn8idUCX"
"1265433561852772352","Vampire Nighthawk #mtg

Artist: Jason Chan https://t.co/h0vai3SQ1p"
"1267982377940377600","@KSVesq Paid for by our tax dollars"
"1267998690754600960","RT @mitzienscene: cops gassing a crowd on a rainbow crosswalk....it's pride month all right https://t.co/UUlAMlhpLd"
"1267657044057706496","RT @SaniaNishtar: With great humility &amp; guided by a rules &amp; transparency driven approach, our government has crossed the Rs. 100 bln mark w…"
"1267291159006674944","RT @PuestoLoco: @ChrisMurphyCT That's not even the most dangerous fold recently. Trump designating this amorphous thing called #AntiFa, giv…"
"1267607098034130944","@SliftyThe2nd Cycles, Dive, Zombie, Try all by Jade Novah"
"1267298900672761856","RT @mitchellvii: Taking down #Antifa as a terrorist organization should be t-ball for AG Barr.  If he can't get this done right, and right…"
"1267604446370037760","Rainbow over #NYCProtest in the East Village NYC. Stay Safe y’all. https://t.co/DA1I32wAlk"
"1267601203543842816","Prayers&amp;Thoughts For your loss of your Dog Isaboo Rachel&amp;John She was delight to watch I'm going to Miss her How sh… https://t.co/r5WhjnNt6v"
"1267304135839199232","RT @_tasilove: Out protesting #BlackLivesMatter https://t.co/ULhsSuW7NQ"
"1267981836787036160","EXO Rainbow 🙌🏼🌈@weareoneEXO"
"1267845308949704704","#unicorn_beacon Entropy for beacon n° 39711 is: """"The brisk red wolf dashed beyond the lazy dingo and woofed: Bark, yelp."""""
"1265443932642652160","What do you think is going to happen to Companions? #MTG

https://t.co/JQyxk1CyZ5"
"1267536275596337152","She talking bout a unicorn sleep over an I told her she can invite 9 girls"
"1267740315865227264","ordered a few mini paints lately, and threw a #MtG Deck Builder's Toolkit into the basket as well. 

This is basica… https://t.co/ty7tWKZQj7"
"1266537562438590464","RT @TerminatorLx: @fernalfonso Whoever started throwing things at CNN is a plant to make the protestors look bad. I have protested dozens o…"
"1267602225532043264","hama_cheese’s rainbow aesthetic is literally everything i have ever strived for in my life"
"1267990546510995456","RT @ClowntownRL: @TheMilkmanBilly out there styling 😍
.
Check us out on instagram! 🤡🤡 https://t.co/8GEMja9wS0
.
#rocketleague #clowntown #t…"
"1267998696672825344","@AnnNabors4 HUGS! I am so sorry! This is the hardest part of loving a pet but it is the one last gift you can give… https://t.co/VokY9fSehf"
"1267484684314988544","TOP 50 SURVIVAL GAMES ANDROID Zombie OFFLINE HIGH GRAPHICS 2020
https://t.co/bOTNqHmPIx https://t.co/sk3hgP2U0c"
"1267936380166049792","@MillieByrne12 The poor man (not) will be in for a hard time once the rainbow mob get a hold of him. It'll be. https://t.co/hNPYdDhSyG"
"1267976053936525312","RT @KRISTINSANGRY: INFO THREAD: if you cant donate yourself, here is a thread of youtubers you can watch. all proceeds from ads (pls do not…"
"1265374548461002752","Retweeting this again! #mtg #MagicTheGathering #fridaynightmagic #fnm #fnmathome please share and rt! https://t.co/5qyCa2mUWt"
"1267304140990033920","RT @ImDontaiLOL: Tiktokers be like “#BlackLivesMatter 😭 This ruined my whole day”...then hit the renegade 30 minutes later in they next pos…"
"1267993908841271296","RT @CTZebra: Chad Eddinger, 49yo who worked  at the Wilkes-Barre VA Medical center, PA died of #covid19 on 4/29. He was both a Marine veter…"
"1267520781556355072","Don’t forget to order your Liv like a Unicorn shirts! #livlikeaunicorn #bethegood https://t.co/TPWOfhitst"
"1267660324502736896","@NYGovCuomo Shameful murderer #Cuomo who defied CDC orders by sending #COVID19 infected patients into LTC homes kil… https://t.co/Z67q1Us2TP"
"1267801276005449728","@arvbellaflvme Aww poo that's so not cool 🥴😩"
"1267649701450518528","@GOP @realDonaldTrump How come he ignores subpoenas , refuses to testify under oath, uses justice dept to let his p… https://t.co/Ixh6WHxNY5"
"1267546325471690752","@sanemititties i wouldnt be surprised if a zombie apocalypse started 😭"
"1265129131282501632","Thanks to a shipping snafu, we had to wait an extra week to do our #MtG Ikoria webcam pre-release this weekend. Thi… https://t.co/yScJyuHkVv"
"1267616056442368000","Zombie life starts tomorrow work errday at 5am 🙃🤧"
"1267602930477289472","RT @enetolicky1: amidst everything and with pride cancelled, how many companies are pumping out rainbow logos compared to last year? they c…"
"1267927044639330304","RT @GSierraZorita: @douglasmack @zombie_esq Sharing - https://t.co/tAghee4EbT"
"1267872092105523200","RT @Leaves_Cobwebs: Happy #PRIDE2020 from our house zombie to yours https://t.co/iRpMw0saXO"
"1267637392023982080","i come from a place that got more colors than the rainbow , the thought of somebody skin color bein a issue is actu… https://t.co/I5piJYcl79"
"1265835176426450944","Ok #mtg base. What do you think is a better mass wipe effect for #CMDR: 

I’m choosing these two rather than Damnat… https://t.co/hFcQ5e22vg"
"1268017323258122240","RT @SnaehaJ: our Tamil community knows how it feels to have our brothers and sisters killed just for being Tamil. Let’s not let our Black c…"
"1267592542960455680","@AmandaTNStevens @bardandbaker @oneironym I'm glad you like it! It felt very anime with the strawberry garnish on t… https://t.co/jeglLr6Xwz"
"1267296623136083968","I choose America, and I always will. #BunkerBoy 
https://t.co/IBFfd5BEeZ"
"1265608505043582976","A meta deck that helped me to climb the ladder. Enjoy ;)

https://t.co/BkLSLR7O7y

#MTGArena #MTGA #mtg #magic… https://t.co/vgM4risVqG"
"1267895821745471488","@wackpackjack @jimsciutto Trump zombie troll alert!! Might get a few other zombie wingnuts to agree with you but th… https://t.co/Z8ixMq3Byy"
"1267305087967223808","RT @SarahhMontt: This person tried to bulldoze a peaceful protest in Pasadena. This is what your #BlueLivesMatter flag means to me. Monster…"
"1266536904494845952","Lmaoo CNN gotta be paying @sarasidnerCNN good money she deadass thuggin in the MN riots"
"1267297976948371456","@OCcornpop @HBPD_PIO @Twitter Speaking of ugly, sorry just came to me when I looked at your profile with a dead San… https://t.co/NBZGOPuGUS"
"1267527385605439488","@GraceVivacious @Aloh424Love @bellahtyrah See diz zombie... Tacha has so many amazing fans such that if 50fans twee… https://t.co/al7eGpR51E"
"1268016356735111168","RT @virtuallyoon: PEOPLE IN THE UK PLEASE SIGN THIS PETITION !!! 

IT’S TO STOP THE EXPORT OF TEAR GAS, RUBBER BULLETS AND RIOT SHIELDS FRO…"
"1267939567874854912","Can you guess this card's name? #mtg #magicthegathering https://t.co/JrqqjmgeYB"
"1267639478954479616","#adoptmetrades 
Will anyone help petsit my newborn unicorn to full grown? I can pay with a monkey box or 1.5k amc u… https://t.co/QdhUiQC50H"
"1267305165582823424","RT @TheEllenShow: I support the protestors who are exercising their rights and standing up against the horrible injustices that Black peopl…"
"1267306907208949760","RT @MsActiviss: @jadedcreative it's over #bunkerboy https://t.co/djKBMJn8wT"
"1267880255928307712","@RichieD76 @CourticeMarcus @donnantwich @YvetteCooperMP Again, so what?? Stop spouting irrelevant nonsense"
"1267942470752624640","RT @mametown: Just called the Louisville Metro Police Dept and the front desk gave me this number. Inbox full but keep calling. 5025742136.…"
"1267982256070524928","https://t.co/m3JHXgqWNR
CHINA HOODWINKED WHO AND THE WORLD!
#China #ChinaIndiaFaceoff #Chinazi #coronavirus #COVID19 https://t.co/JHera8wpjQ"
"1267603716485648384","Bet them with the Hare; """"I could easily make a zombie, hahaha The Lion simply pounced on a caterpillar The Ass to keep some"
"1267602994847195136","@ValehnaXP @iilluminaughtii Damn imagine not knowing how to do google before you make a post and put a rainbow flag… https://t.co/2q7E9LNhP3"
"1267986861265469440","RT @eNCA: Police Minister, Bheki Cele, says he's concerned about the sale of alcohol during #level3. #AlcholSales #COVID19 #lockdown #eNCA…"
"1266536905690230784","@HamletofManlius @fernalfonso @redsteeze 😂😂 we can only dream. CNN isn’t going to be ended by butning that building… https://t.co/rECwsup7u3"
"1267965209395658752","Like they say after the storm there’s a rainbow https://t.co/u3SGVUhX5S"
"1267297970237603840","#Antifa are terrorists and with the terrorists, there is no negotiation. https://t.co/BsfFgrmfTO"
"1267918497864089600","im a beatiful rainbow support #Twibbon"
"1267883786332590080","RT @MarkHarlan_AD: Listen. Learn. Act.
#blackouttuesday https://t.co/4z7lpe7S9f"
"1267658686723289088","Peru's #COVID19 cases top 170,000, deaths reach 4,634 https://t.co/nmKsfuuc5E https://t.co/FTodODgMBE"
"1267977697126264832","@lyrratic @brandugh oh right i forgot we won’t get to see her in her rainbow sash as she hangs out with yang and th… https://t.co/mOdKoxlcsr"
"1267304180886253568","RT @salohfolina: Lucas - Stranger Things #BlackLivesMatter #VidasNegrasImportam https://t.co/2yWzwgYDNG"
"1267619069454417920","RT @vicannbro: what’s a more perfect way to celebrate pride month than to take a pic infront of the rainbow house?? #PrideMonth #LGBTQ http…"
"1267304778750734336","RT @JoseMedinaJr89: It’s a time of reckoning. We, in #duallanguage (&amp; world languages), have been complicit in maintaining systems of oppre…"
"1267885016132059136","@born_unicorn Salve"
"1267534995578654720","#MTG #MTGA #MTGArena #MagicTheGathering #mtgo #ehd #mtgstandard

investors and timmys be like https://t.co/EFxXyQDKvO"
"1268016422514503680","RT @ThePiebrarian: URGENT SCANNER UPDATE: I'm hearing requests for backup at 30th street and 6th ave in Manhattan and I believe I can hear…"
"1267306436754718720","We have no leadership in our country! All we have is #BunkerBoy the #Idiot https://t.co/556u9gGXal"
"1268017044093636608","RT @CesarAzpi: Enough is enough. We are all HUMANS. Together we are stronger. #BlackLivesMatter ✊✊🏻✊🏼✊🏽✊🏾✊🏿 https://t.co/6vPYaOXFiT"
"1267943860401065984","RT @spillseshYT: @ThreeDailey @TeaTriggerYT @ellinara3 And they tried to play content police 🤧"
"1267949068627648512","Trading
Valentina cuffs:4k
Hip bag of coins: 4k
Love me bag: 8k
Rainbow armlets: 15k
Treasure satchel: 14k
Cherry s… https://t.co/rV2ART0EbJ"
"1267619044657692672","RT @FleshlessArt: @AstralVisitor @legionface None of it's official dude, we don't have an Imperial Rainbow Council"
"1267656321572233216","RADIO STATIONS ACROSS THE LAND WHERE YOU AT?

#BlackOutTuesday #BlackLivesMatter #JusticeForGeorgeFloyd… https://t.co/sqUT8sjrfK"
"1267649306518945792","RT @iChongqing_CIMC: On May 28, a team of Chinese medical experts ended the mission to help tackle the COVID-19 in Algeria and departed for…"
"1267789963233558528","Just a reminder that yesterday a podcast @stoolpresidente  owns put out links to donate to Antifa bail fund, Stacy… https://t.co/RiVbeXydRL"
"1267304292245012480","I will march, protest, sign petitions. speak up and do whatever needs to be done for our people. #BlackLivesMatter… https://t.co/NM9tBTWfdp"
"1267305176014217216","RT @Eyedalis: So emotional being here today. Boston showed up ✊🏾

#Blacklivesmatter https://t.co/k6KmBtTXsm"
"1267982373091713024","The Establishment Has Lost ALL Credibility, COVID Is Gone??! HOW?! WHERE?! https://t.co/2nkapN0qAX via @YouTube 
#COVID19"
"1267609300559593472","@tardis_noise @Thegamerdude98 @PlayStation Black lifes stop saying that it is hypocrisy you are referring to life’s… https://t.co/wdd2EE0CZT"
