,World Development Indicators,,,
http://data.worldbank.org/indicator/NY.GDP.MKTP.CD,,,,
Last Updated Date,7/8/16,,,
,,,,
Country Name,Country Code,Indicator Name,Indicator Code,2015
Aruba,ABW,GDP at market prices (current US$),NY.GDP.MKTP.CD,
Andorra,AND,GDP at market prices (current US$),NY.GDP.MKTP.CD,
Afghanistan,AFG,GDP at market prices (current US$),NY.GDP.MKTP.CD,19199437989
Angola,AGO,GDP at market prices (current US$),NY.GDP.MKTP.CD,1.02643E+11
Albania,ALB,GDP at market prices (current US$),NY.GDP.MKTP.CD,11455595709
Arab World,ARB,GDP at market prices (current US$),NY.GDP.MKTP.CD,2.5301E+12
United Arab Emirates,ARE,GDP at market prices (current US$),NY.GDP.MKTP.CD,3.70293E+11
Argentina,ARG,GDP at market prices (current US$),NY.GDP.MKTP.CD,
Armenia,ARM,GDP at market prices (current US$),NY.GDP.MKTP.CD,10561401185
American Samoa,ASM,GDP at market prices (current US$),NY.GDP.MKTP.CD,
Antigua and Barbuda,ATG,GDP at market prices (current US$),NY.GDP.MKTP.CD,1297285370
Australia,AUS,GDP at market prices (current US$),NY.GDP.MKTP.CD,1.33954E+12
Austria,AUT,GDP at market prices (current US$),NY.GDP.MKTP.CD,3.74056E+11
Azerbaijan,AZE,GDP at market prices (current US$),NY.GDP.MKTP.CD,53047140347
Burundi,BDI,GDP at market prices (current US$),NY.GDP.MKTP.CD,3085184837
Belgium,BEL,GDP at market prices (current US$),NY.GDP.MKTP.CD,4.54039E+11
Benin,BEN,GDP at market prices (current US$),NY.GDP.MKTP.CD,8476125181
Burkina Faso,BFA,GDP at market prices (current US$),NY.GDP.MKTP.CD,11099473097
Bangladesh,BGD,GDP at market prices (current US$),NY.GDP.MKTP.CD,1.95079E+11
Bulgaria,BGR,GDP at market prices (current US$),NY.GDP.MKTP.CD,48952959080
Bahrain,BHR,GDP at market prices (current US$),NY.GDP.MKTP.CD,32221489362
"Bahamas, The",BHS,GDP at market prices (current US$),NY.GDP.MKTP.CD,8884441432
Bosnia and Herzegovina,BIH,GDP at market prices (current US$),NY.GDP.MKTP.CD,15995392118
Belarus,BLR,GDP at market prices (current US$),NY.GDP.MKTP.CD,54608962635
Belize,BLZ,GDP at market prices (current US$),NY.GDP.MKTP.CD,1763000000
Bermuda,BMU,GDP at market prices (current US$),NY.GDP.MKTP.CD,
Bolivia,BOL,GDP at market prices (current US$),NY.GDP.MKTP.CD,33196819572
Brazil,BRA,GDP at market prices (current US$),NY.GDP.MKTP.CD,1.77472E+12
Barbados,BRB,GDP at market prices (current US$),NY.GDP.MKTP.CD,4451000000
Brunei Darussalam,BRN,GDP at market prices (current US$),NY.GDP.MKTP.CD,15492035784
Bhutan,BTN,GDP at market prices (current US$),NY.GDP.MKTP.CD,1962221696
Botswana,BWA,GDP at market prices (current US$),NY.GDP.MKTP.CD,14390863395
Central African Republic,CAF,GDP at market prices (current US$),NY.GDP.MKTP.CD,1503299944
Canada,CAN,GDP at market prices (current US$),NY.GDP.MKTP.CD,1.55054E+12
Central Europe and the Baltics,CEB,GDP at market prices (current US$),NY.GDP.MKTP.CD,1.27322E+12
Switzerland,CHE,GDP at market prices (current US$),NY.GDP.MKTP.CD,6.64738E+11
Channel Islands,CHI,GDP at market prices (current US$),NY.GDP.MKTP.CD,
Chile,CHL,GDP at market prices (current US$),NY.GDP.MKTP.CD,2.40216E+11
China,CHN,GDP at market prices (current US$),NY.GDP.MKTP.CD,1.08664E+13
Cote d'Ivoire,CIV,GDP at market prices (current US$),NY.GDP.MKTP.CD,31752543539
Cameroon,CMR,GDP at market prices (current US$),NY.GDP.MKTP.CD,29198372811
"Congo, Rep.",COG,GDP at market prices (current US$),NY.GDP.MKTP.CD,8553154506
Colombia,COL,GDP at market prices (current US$),NY.GDP.MKTP.CD,2.9208E+11
Comoros,COM,GDP at market prices (current US$),NY.GDP.MKTP.CD,
Cabo Verde,CPV,GDP at market prices (current US$),NY.GDP.MKTP.CD,1629759975
