"tmpID","ResidenceHHGenderDescription","EthnicDescription","BroadEthnicGroupings","PresenceOfChildrenCode","ISPSA","HomeOwnerRenter","MosaicZ4","MedianEducationYears","NetWorth","Investor","BusinessOwner","Education","OccupationIndustry","HorseOwner","CatOwner","DogOwner","OtherPetOwner","HomeOffice","BookBuyerInHome","UpscaleBuyerInHome","BuyerofAntiquesinHousehold","BuyerofArtinHousehold","GeneralCollectorinHousehold","BooksAudioReadinginHousehold","ComputerOwnerInHome"
1007,"Mixed Gender Household","German","German","Known Data",1,"Likely Homeowner","",15,"$50000-99999","","","Unknown","Unknown","","","","","","","","","Yes","","","Yes"
1740,"Mixed Gender Household","English/Welsh","Hispanic","Not Likely to have a child",9,"Likely Homeowner","",13,"$100000-249999","","","Bach Degree - Likely","Education","Yes","","","","","2 book purchases in home","","","","","","Unknown"
5827,"Mixed Gender Household","Likely Af-Am (Modeled)","Likely Af-Am (Modeled)","Modeled Not as Likely to have a child",6,"Likely Homeowner","",14,"$250000-499999","","","Bach Degree - Extremely Likely","Other","","","","Yes","","","","","","","","Yes"
3183,"Mixed Gender Household","","Irish","Known Data",8,"Likely Homeowner","",12,"$1-4999","","","Unknown","Unknown","","","","","","","","","","Yes","","Yes"
2917,"Female Only Household","","Polish","Modeled Not as Likely to have a child",9,"Likely Homeowner","",16,"$250000-499999","","","Grad Degree - Likely","Unknown","","","","","","","","","","","","Yes"
2980,"Mixed Gender Household","English/Welsh","English/Welsh","",9,"Likely Renter","",15,"$100000-249999","Yes","","Unknown","Unknown","","Yes","","","","","","","Yes","","","Unknown"
5724,"Mixed Gender Household","French","English/Welsh","Known Data",7,"Likely Homeowner","",16,"$250000-499999","Yes","","Grad Degree - Extremely Likely","Unknown","","","","","","","","","","","","Yes"
5261,"Female Only Household","Scots","English/Welsh","Not Likely to have a child",9,"Likely Homeowner","Reaping Rewards",12,"$50000-99999","","","HS Diploma - Extremely Likely","Unknown","","","","","","","","","","","","Yes"
2812,"Mixed Gender Household","Scots","Irish","Not Likely to have a child",9,"Likely Homeowner","",16,"","Yes","","Grad Degree - Likely","Skilled Trades","","","","Yes","","","","","","","","Yes"
1251,"Mixed Gender Household","Irish","","Not Likely to have a child",9,"Likely Homeowner","",16,"$25000-49999","","","Bach Degree - Extremely Likely","Unknown","","","","","","1 book purchase in home ","","","","Yes","","Yes"
268,"Mixed Gender Household","Dutch (Netherlands)","Scots","Not Likely to have a child",8,"Likely Homeowner","",15,"$100000-249999","Yes","","Some College - Likely","Unknown","","","","","Yes","","","","","Yes","","Yes"
428,"Male Only Household","English/Welsh","Irish","Not Likely to have a child",7,"Likely Renter","Family Fun-tastic",12,"","Yes","","Grad Degree - Extremely Likely","Unknown","","","","","","","1 upscale merchandise purchase ","","","","","Yes"
2551,"Mixed Gender Household","English/Welsh","English/Welsh","Known Data",6,"Likely Homeowner","",13,"$250000-499999","","","Some College - Likely","Unknown","","","","","","","","","","Yes","","Yes"
2056,"Mixed Gender Household","Norwegian","English/Welsh","Not Likely to have a child",9,"Likely Homeowner","Picture Perfect Families",15,"$100000-249999","Yes","","Grad Degree - Extremely Likely","Unknown","","","","","","","","","","Yes","","Unknown"
3180,"Mixed Gender Household","English/Welsh","Likely Af-Am (Modeled)","Not Likely to have a child",9,"","",15,"$499999+","Yes","","HS Diploma - Extremely Likely","Unknown","","Yes","","Yes","","","","","","","","Yes"
