"Month","NightOccupied","Avg.Price.Per.Night","EffectiveGrossIncome","Operating.Expenses","NetOperatingIncome","OperatingExpenseRatio","fixedCosts","variableCosts"
"Jan-17",15,53,795,1173,-385,1.48,250,930
"Feb-17",11,95,1045,1187,-140,1.14,250,935
"Mar-17",15,134,2010,1747,260,0.87,250,1500
"Apr-17",7,141,987,2148,-1160,2.18,250,1897
"May-17",14,128,1792,1106,688,0.62,250,854
"Jun-17",12,244,2928,1158,1766,0.4,250,912
"Jul-17",21,215,4515,1306,3215,0.29,250,1050
"Aug-17",28,230,6440,1936,4510,0.3,250,1680
"Sep-17",18,146,2628,1712,920,0.65,250,1458
"Oct-17",20,115,2300,1194,1110,0.52,250,940
"Nov-17",12,95,1140,1324,-178,1.16,250,1068
"Dec-17",7,118,826,1036,-208,1.25,250,784
"Jan-18",15,78,1170,1101,65,0.94,250,855
"Feb-18",28,57,1596,1680,-82,1.05,250,1428
"Mar-18",17,120,2040,1252,787,0.61,250,1003
"Apr-18",12,111,1332,2164,-838,1.62,250,1920
"May-18",20,131,2620,1502,1110,0.57,250,1260
"Jun-18",19,174,3306,1411,1897,0.43,250,1159
"Jul-18",24,83,1992,1582,422,0.79,250,1320
"Aug-18",27,200,5400,1523,3881,0.28,250,1269
"Sep-18",24,137,3288,1814,1478,0.55,250,1560
"Oct-18",17,120,2040,1693,345,0.83,250,1445
"Nov-18",16,98,1568,1394,166,0.89,250,1152
"Dec-18",13,102,1326,1637,-315,1.23,250,1391
"Jan-19",2,110,220,1104,-884,5.02,250,854
"Feb-19",2,110,220,1556,-1336,7.07,250,1306
"Mar-19",2,121,242,1061,-820,4.38,250,812
"Apr-19",16,137,2192,1579,614,0.72,250,1328
"May-19",13,98,1274,1190,88,0.93,250,936
"Jun-19",10,63,630,919,-290,1.46,250,670
"Jul-19",26,169,4394,1274,3130,0.29,250,1014
"Aug-19",28,86,2408,1594,814,0.66,250,1344
"Sep-19",20,138,2760,1768,990,0.64,250,1520
"Oct-19",9,97,873,1138,-268,1.3,250,891
"Nov-19",15,105,1575,1242,335,0.79,250,990
"Dec-19",7,64,448,993,-544,2.22,250,742
"Jan-20",13,56,728,1329,-601,1.83,250,1079
"Feb-20",10,59,590,969,-380,1.64,250,720
"Mar-20",19,64,1216,1333,-117,1.1,250,1083
