HHuniqueID,headOfhouseholdGender,annualDonations,EstRace,PetsPurchases,DigitalHabits_5_AlwaysOn,AffluencePurchases,Age,Job,Marital,Education
HHd4d0af8c72,F,,Fijian,TRUE,4,FALSE,32,management,single,tertiary
HH8d3e87c164,M,,,TRUE,2,FALSE,32,blue-collar,married,primary
HHdd53ef1db6,F,,,FALSE,1,FALSE,29,management,single,tertiary
HH6fa0de6516,F,,,TRUE,1,TRUE,25,student,single,primary
HHeb436ca7cf,F,,Paraguayan,TRUE,3,TRUE,30,management,married,tertiary
HH5119beb3cd,F,,,TRUE,3,FALSE,32,technician,single,tertiary
HH3a1172a4ab,F,,,TRUE,1,TRUE,37,admin.,single,tertiary
HHac2e1c4845,F,,Guamanian,FALSE,3,FALSE,35,management,divorced,tertiary
HH76d6ee152b,M,,,TRUE,4,FALSE,30,admin.,married,secondary
HHa2c59d2e2f,M,,,FALSE,4,TRUE,30,blue-collar,married,secondary
HH9122fe2c6a,F,$556.28 ,Bolivian,TRUE,4,FALSE,27,services,single,secondary
HH50d5899425,F,,,TRUE,3,FALSE,53,blue-collar,married,primary
HH40d6625b07,F,,,TRUE,1,FALSE,44,technician,married,secondary
HH1053609743,F,$351.37 ,Sri Lankan,FALSE,3,TRUE,38,self-employed,divorced,secondary
HHb47e7d94d5,F,,,FALSE,2,FALSE,25,services,single,NA
HHbee88255e4,M,,,TRUE,5,FALSE,61,management,single,tertiary
HH07334114dc,F,,Eskimo,FALSE,3,TRUE,34,admin.,single,secondary
HH51808510b3,F,,,FALSE,4,TRUE,46,management,married,tertiary
HH549e143536,F,,,TRUE,5,TRUE,49,blue-collar,married,secondary
HH06633a4031,M,,,TRUE,3,FALSE,50,blue-collar,married,primary
HH380dc273c1,F,,,TRUE,5,TRUE,57,blue-collar,married,secondary
HH5f28bd7f6b,M,,Cheyenne,FALSE,5,FALSE,80,retired,married,secondary
HHde2d5f4d9e,F,,,TRUE,1,TRUE,31,management,single,tertiary
HH6a0fa7c63b,M,,,TRUE,2,TRUE,63,retired,married,secondary
HH8e04382632,M,,,FALSE,2,TRUE,60,technician,married,secondary
HH0ebd23807e,M,$827.82 ,Latin American Indian,FALSE,2,FALSE,29,management,married,tertiary
HH59fe0827b8,M,$565.04 ,,TRUE,4,FALSE,54,management,married,primary
HH48790e8956,M,,,TRUE,1,FALSE,45,NA,divorced,NA
HH913b2fe6bb,F,,,FALSE,3,FALSE,34,services,married,secondary
HH24bba1e369,F,,,FALSE,5,TRUE,42,blue-collar,married,primary
HH787bde3633,F,,,FALSE,2,FALSE,54,technician,married,secondary
HH0a030f0318,M,,,FALSE,1,FALSE,32,admin.,single,secondary
HHaf7e5b31f8,F,,Paiute,FALSE,4,FALSE,57,retired,single,tertiary
HHf30d125723,M,,,FALSE,3,FALSE,36,management,divorced,tertiary
HH721e8c3433,F,,,TRUE,5,FALSE,34,blue-collar,single,secondary
HHe835fc18ba,F,,,FALSE,3,TRUE,39,blue-collar,married,secondary
HH93e22eeed0,F,,,TRUE,3,FALSE,31,blue-collar,married,secondary
HH8c678e794f,F,,,FALSE,2,TRUE,33,admin.,married,secondary
HH664b64fca0,M,,,TRUE,3,TRUE,41,blue-collar,divorced,primary
HHadfa1ce0fe,M,,,FALSE,2,TRUE,35,admin.,married,secondary
HH08c38e550a,M,,Uruguayan,FALSE,4,TRUE,32,management,married,secondary
HH696b12b944,M,,,FALSE,4,FALSE,40,blue-collar,married,secondary
HH6f356470f8,M,,,FALSE,5,TRUE,35,management,single,tertiary
HH67b362e719,F,$334.20 ,,FALSE,3,FALSE,40,admin.,married,secondary
HH1d6ceaedcc,M,,,FALSE,3,TRUE,60,management,married,tertiary
HHe0678b0f6a,F,,Vietnamese,FALSE,4,FALSE,35,blue-collar,single,secondary
HHf4c6f20e60,F,,,TRUE,2,TRUE,42,management,divorced,secondary
HH61f7237347,M,,,FALSE,1,FALSE,79,retired,divorced,primary
HH5bf0d252e3,M,$26.13 ,,TRUE,1,TRUE,46,admin.,single,secondary
HHd1a8601d10,M,,,FALSE,5,FALSE,33,technician,divorced,secondary
