"RowID","uniqueID","zipRange","homeOwner","NUMCHLD","INCOME","gender","WEALTH","HV","Icmed","Icavg","IC15","NUMPROM","RAMNTALL","MAXRAMNT","LASTGIFT","totalmonths","TIMELAG","AVGGIFT","Y1_Donation","Y2_DonatedAmt"
1,"donor17","40000-59999","Yes",1,5,"MALE",9,1399,637,703,1,74,102,6,5,29,3,4.857142857,"Yes",5
2,"donor25","20000-39999","Yes",1,1,"FEMALE",7,698,422,463,4,46,94,12,12,34,6,9.4,"Yes",10
3,"donor29","80000-99999",NA,2,5,"MALE",8,828,358,376,13,32,30,10,5,29,7,4.285714286,"Yes",5
4,"donor38","80000-99999","Yes",1,3,"FEMALE",4,1471,484,546,4,94,177,10,8,30,3,7.08,"No",0
5,"donor40","40000-59999","Yes",1,4,"FEMALE",8,547,386,432,7,20,23,11,11,30,6,7.666666667,"No",0
6,"donor53","40000-59999","Yes",1,4,"MALE",8,482,242,275,28,38,73,10,10,31,3,7.3,"Yes",8
7,"donor58","80000-99999","Yes",1,4,"MALE",8,857,450,498,5,47,139,20,20,37,3,10.69230769,"Yes",10
8,"donor61","20000-39999","Yes",1,1,"FEMALE",7,1355,411,497,9,77,249,15,7,35,3,9.576923077,"Yes",20
9,"donor71","60000-79999","Yes",1,4,"FEMALE",5,505,333,388,16,51,63,15,10,37,8,9,"Yes",5
10,"donor87","20000-39999","Yes",1,4,"MALE",8,1438,458,533,8,21,26,16,16,30,NA,13,"No",0
11,"donor100","80000-99999","Yes",1,4,"MALE",8,1316,541,575,11,66,108,12,7,31,1,6,"Yes",7
12,"donor104","20000-39999","Yes",1,1,"MALE",5,428,203,271,39,73,161,6,3,32,7,3.659090909,"Yes",3
13,"donor121","60000-79999","Yes",1,4,"MALE",5,629,434,472,6,59,84,5,3,30,12,3.652173913,"No",0
14,"donor142","20000-39999","No",1,5,"FEMALE",8,1318,399,458,8,25,40,10,10,32,2,8,"Yes",10
15,"donor149","80000-99999","No",1,2,"FEMALE",8,1052,337,402,5,27,50,20,20,37,NA,16.66666667,"No",0
16,"donor159","60000-79999","Yes",1,3,"MALE",5,779,434,500,3,98,126,7,7,33,1,4.344827586,"Yes",11
17,"donor172","80000-99999","Yes",1,4,"FEMALE",6,807,354,393,13,60,100,10,10,30,10,9.090909091,"Yes",10
18,"donor178","20000-39999","Yes",1,4,"FEMALE",9,2246,542,640,1,76,262,34,32,33,3,14.55555556,"No",0
19,"donor180","20000-39999","Yes",1,2,"FEMALE",7,789,295,398,18,48,127,60,42,37,6,31.75,"Yes",16.87
20,"donor182","80000-99999","No",1,6,"MALE",7,995,372,407,10,83,476,25,10,28,6,13.6,"Yes",23
21,"donor186","60000-79999","Yes",1,7,"FEMALE",7,936,521,590,11,69,98,6,5,31,2,3.62962963,"Yes",4
22,"donor187","80000-99999","Yes",1,5,"MALE",8,860,321,392,9,38,53,20,5,18,0,8.833333333,"Yes",5
23,"donor193","80000-99999","Yes",1,4,"MALE",8,3510,622,633,4,22,25,15,15,34,3,12.5,"No",0
24,"donor194","60000-79999","No",1,5,"MALE",8,735,446,455,7,58,79,9,9,30,6,6.076923077,"No",0
25,"donor196","80000-99999","Yes",1,7,"FEMALE",6,1888,382,435,17,98,350,23,13,17,35,17.5,"Yes",10
26,"donor199","60000-79999","Yes",1,6,"MALE",9,3958,761,862,0,53,119,20,20,NA,3,11.9,"Yes",20
27,"donor202","40000-59999","Yes",1,4,"MALE",8,411,236,273,21,15,15,15,15,35,5,15,"Yes",15
28,"donor220","40000-59999","Yes",1,4,"FEMALE",2,610,281,328,16,50,161,25,10,36,5,10.0625,"Yes",10
29,"donor235","20000-39999","Yes",1,1,"MALE",8,826,415,514,5,37,32,15,15,37,6,8,"No",0
30,"donor237",NA,"Yes",1,4,"MALE",4,780,321,354,14,48,175,20,15,37,9,13.46153846,"Yes",10
31,"donor241","40000-59999","No",1,2,"FEMALE",2,418,300,348,12,92,186,15,14,37,5,8.454545455,"No",0
32,"donor243","80000-99999","No",1,4,"MALE",4,3321,434,536,10,66,85,20,20,37,10,9.444444444,"Yes",10
33,"donor257","80000-99999","Yes",1,3,"FEMALE",8,1868,324,380,12,28,31,10,10,32,3,5.166666667,"Yes",5
34,"donor258","60000-79999","No",1,4,"MALE",8,457,302,329,19,85,79,10,10,30,12,3.590909091,"Yes",0
35,"donor273","80000-99999","Yes",1,5,"FEMALE",8,1604,438,431,12,26,35,10,10,31,6,8.75,"No",0
36,"donor282","80000-99999","Yes",1,4,"MALE",8,842,464,556,3,50,107,10,10,NA,4,5.944444444,"No",0
37,"donor288","20000-39999","Yes",1,6,"MALE",8,2085,755,797,3,50,85,5,5,32,6,4.722222222,"Yes",5
38,"donor301","80000-99999","Yes",1,6,"FEMALE",8,5505,1255,1142,0,24,39,16,13,34,NA,13,"No",0
39,"donor308","80000-99999","Yes",1,4,"MALE",8,819,415,428,5,26,28,10,10,29,4,5.6,"No",0
40,"donor314","20000-39999","Yes",1,4,"FEMALE",8,0,0,0,0,27,40,10,10,31,6,10,"No",109
41,"donor316","40000-59999","Yes",1,3,"MALE",8,296,280,315,17,64,52,5,2,20,7,2.260869565,"Yes",2
42,"donor328","40000-59999","Yes",1,1,"FEMALE",8,299,247,315,25,22,47,20,13,30,4,11.75,"No",0
43,"donor331","20000-39999","No",1,5,"FEMALE",8,675,374,402,7,24,26,16,16,37,9,13,"Yes",16
