"RegistrationNum","FileNum","Owner","heightFT","lat","lon","city","state","zip5"
1000020,"A1012741","Crown Castle GT Company LLC",13.7,34.508333333333,-120.22291666667,"GAVIOTA","CA","93427"
1000022,"A1012742","Crown Castle GT Company LLC",22.8,37.749083333333,-122.19744444444,"OAKLAND","CA","94601"
1000036,"A1012745","Crown Castle GT Company LLC",25.9,37.696555555556,-121.76958333333,"ALAMEDA","CA","94551"
1000095,"A1012749","Crown Castle GT Company LLC",49.4,36.880277777778,-120.46738888889,"FIREBAUGH","CA","93622"
1000433,"A1031930","CCATT LLC",21.6,36.740277777778,-119.78708333333,"FRESNO","CA","93721"
1000516,"A1057642","Los Angeles SMSA Limited Partnership",22.9,34.088055555556,-117.64833333333,"UPLAND","CA","91743"
1000517,"A1057643","Los Angeles SMSA Limited Partnership",18.3,33.8025,-118.15338888889,"SIGNAL HILL","CA","90755"
1000642,"A1031927","CCATT LLC",49.4,39.734972222222,-121.61391666667,"PARADISE","CA","95969"
1000695,"A0911312","SBA Towers V, LLC",67.6,38.508888888889,-122.66333333333,"SANTA ROSA","CA","95404"
1001109,"A0476827","KRAWETZ, HOWARD M DBA = K COMM",61,37.113333333333,-121.83694444444,"LOS GATOS","CA","95033"
1001116,"A1012775","Crown Castle GT Company LLC",21.6,37.341666666667,-121.94805555556,"SANTA CLARA","CA","95050"
1001289,"A0122425","SUTRO TOWER INC",297.7,37.755277777778,-122.45277777778,"SAN FRANCISCO","CA","94131"
1001867,"A1012806","Crown Castle GT Company LLC",61.9,36.144666666667,-119.074,"STRATHMORE","CA","93267"
1001868,"A1010484","CCTM1 LLC",33.8,36.855638888889,-121.40563888889,"Hollister","CA","95023"
1001913,"A0819997","SpectraSite Communications, LLC. through American Towers, LLC.",28,38.686444444444,-121.61369444444,"SACRAMENTO","CA","95837.0"
1001914,"A0819998","SpectraSite Communications, LLC. through American Towers, LLC.",14.6,38.183861111111,-122.59847222222,"NOVATO","CA","94952"
1001916,"A0819999","SpectraSite Communications, LLC. through American Towers, LLC.",18.6,37.452638888889,-122.12594444444,"PALO ALTO","CA","94303"
1001924,"A1031880","CCATT LLC",27.1,37.636666666667,-120.93505555556,"MODESTO","CA","95319"
1002087,"A0002298","BEAUMONT CHERRY VALLEY WATER DISTRICT",15.2,33.928888888889,-116.97694444444,"BEAUMONT","CA","92223"
1002109,"A0546248","The Boeing Company",47.5,33.827222222222,-118.15138888889,"LONG BEACH","CA","90712"
1002213,"A1012826","Crown Castle GT Company LLC",21.3,36.839388888889,-119.84888888889,"FRESNO","CA","93711"
1002214,"A1012827","Crown Castle GT Company LLC",40.5,36.129333333333,-120.37108333333,"COALINGA","CA","93210"
1002217,"A1056325","GTE Mobilnet of California Limited Partnership",28.6,36.585833333333,-121.92194444444,"PEBBLE BEACH","CA","93953"
1002221,"A1012829","Crown Castle GT Company LLC",21.9,36.771055555556,-119.73097222222,"FRESNO","CA","93703"
1002225,"A1012830","Crown Castle GT Company LLC",31.4,36.322138888889,-119.35155555556,"VISALIA","CA","93277"
1002267,"A1055641","PTI US TOWERS II, LLC",21.9,34.08775,-117.67380555556,"Upland","CA","91786"
1002277,"A1055640","PTI US TOWERS II, LLC",18.9,34.160361111111,-117.41013888889,"Rialto","CA","92376"
1002282,"A0778618","T-Mobile West LLC",18.3,33.953055555556,-117.38333333333,"RIVERSIDE","CA","92501"
1002289,"A1021641","T-Mobile West Tower LLC",10.4,38.006388888889,-122.03694444444,"CONCORD","CA","94518"
1002291,"A1010485","CCTM1 LLC",17.4,33.812777777778,-116.54222222222,"PALM SPRINGS","CA","92264"
1002292,"A0778621","T-Mobile West LLC",18.6,33.807777777778,-116.50472222222,"PALM SPRINGS","CA","92264"
1002296,"A1010486","CCTM1 LLC",12.2,33.926111111111,-116.85861111111,"BANNING","CA","92220"
1002299,"A1010487","CCTM1 LLC",27.7,33.7425,-117.28388888889,"PERRIS","CA","92570"
1002687,"A1012865","Crown Castle GT Company LLC",57.6,34.880527777778,-118.16230555556,"ROSAMOND","CA","93560"
1002750,"A0003088","BORNSTEIN, DOUG A",33,33.746666666667,-116.30083333333,"BERMUDA DUNES","CA","92203"
1002791,"A1061615","Verizon Wireless (VAW) LLC",24.4,32.809166666667,-116.96333333333,"EL CAJON","CA","92020"
1003100,"A1012885","Crown Castle GT Company LLC",24,37.7675,-122.2175,"OAKLAND","CA","94601"
1003227,"A1023900","STC One LLC",13.7,33.789444444444,-118.03138888889,"GARDEN GROVE","CA","92845"
1003442,"A1023901","STC One LLC",18.6,33.773944444444,-118.07730555556,"SEAL BEACH","CA","90740"
1003700,"A1031833","CCATT LLC",50,36.740388888889,-119.54933333333,"SANGER","CA","93657"
1004475,"A0908715","SANTA CRUZ, COUNTY OF",36.6,36.933611111111,-121.78527777778,"WATSONVILLE","CA","95076"
1005132,"A1031781","CCATT LLC",18.3,33.68225,-117.87561111111,"COSTA MESA","CA","92626"
1005343,"A1010489","CCTM1 LLC",18.6,33.761666666667,-116.31138888889,"PALM DESERT","CA","92211"
1005354,"A1021653","T-Mobile West Tower LLC",25,34.151111111111,-117.67222222222,"UPLAND","CA","91784"
1005377,"A1010491","CCTM1 LLC",18.6,34.076666666667,-117.62055555556,"ONTARIO","CA","91743"
1005760,"A1059107","Sacramento Valley Limited Partnership",26.5,38.63075,-121.39813888889,"SACRAMENTO","CA","95821.0"
1006115,"A1059108","Sacramento Valley Limited Partnership",22.1,39.352416666667,-120.19547222222,"TRUCKEE","CA","96161"
1007374,"A0253992","UNITED STATES CELLULAR CORPORATION",38.1,41.772222222222,-124.235,"CRESCENT CITY","CA","95531"
1007375,"A0917340","Global Tower, LLC. through American Towers, LLC",33.5,41.555,-124.08222222222,"REQUA","CA","95548"
