"term","anger","anticipation","disgust","fear","joy","sadness","surprise","trust"
"aback",0,0,0,0,0,0,0,0
"abacus",0,0,0,0,0,0,0,1
"abandon",0,0,0,1,0,1,0,0
"abandoned",1,0,0,1,0,1,0,0
"abandonment",1,0,0,1,0,1,1,0
"abate",0,0,0,0,0,0,0,0
"abatement",0,0,0,0,0,0,0,0
"abba",0,0,0,0,0,0,0,0
"abbot",0,0,0,0,0,0,0,1
"abbreviate",0,0,0,0,0,0,0,0
"abbreviation",0,0,0,0,0,0,0,0
"abdomen",0,0,0,0,0,0,0,0
"abdominal",0,0,0,0,0,0,0,0
"abduction",0,0,0,1,0,1,1,0
"aberrant",0,0,0,0,0,0,0,0
"aberration",0,0,1,0,0,0,0,0
"abeyance",0,0,0,0,0,0,0,0
"abhor",1,0,1,1,0,0,0,0
"abhorrent",1,0,1,1,0,0,0,0
"abide",0,0,0,0,0,0,0,0
"ability",0,0,0,0,0,0,0,0
"abject",0,0,1,0,0,0,0,0
"ablation",0,0,0,0,0,0,0,0
"ablaze",0,0,0,0,0,0,0,0
"abnormal",0,0,1,0,0,0,0,0
"aboard",0,0,0,0,0,0,0,0
"abode",0,0,0,0,0,0,0,0
"abolish",1,0,0,0,0,0,0,0
"abolition",0,0,0,0,0,0,0,0
"abominable",0,0,1,1,0,0,0,0
"abomination",1,0,1,1,0,0,0,0
"aboriginal",0,0,0,0,0,0,0,0
"abort",0,0,0,0,0,0,0,0
"abortion",0,0,1,1,0,1,0,0
"abortive",0,0,0,0,0,1,0,0
"abound",0,0,0,0,0,0,0,0
"abovementioned",0,0,0,0,0,0,0,0
"abrasion",0,0,0,0,0,0,0,0
"abroad",0,0,0,0,0,0,0,0
"abrogate",0,0,0,0,0,0,0,0
"abrupt",0,0,0,0,0,0,1,0
"abruptly",0,0,0,0,0,0,0,0
"abscess",0,0,0,0,0,1,0,0
"absence",0,0,0,1,0,1,0,0
"absent",0,0,0,0,0,1,0,0
"absentee",0,0,0,0,0,1,0,0
"absenteeism",0,0,0,0,0,0,0,0
"absinthe",0,0,0,0,0,0,0,0
"absolute",0,0,0,0,0,0,0,0
"absolution",0,0,0,0,1,0,0,1
"absorbed",0,0,0,0,0,0,0,0
"absorbent",0,0,0,0,0,0,0,0
"absorbing",0,0,0,0,0,0,0,0
"absorption",0,0,0,0,0,0,0,0
"abstain",0,0,0,0,0,0,0,0
"abstention",0,0,0,0,0,0,0,0
"abstinence",0,0,0,0,0,0,0,0
"abstract",0,0,0,0,0,0,0,0
"abstraction",0,0,0,0,0,0,0,0
"absurd",0,0,0,0,0,0,0,0
"absurdity",0,0,0,0,0,0,0,0
"abundance",0,1,1,0,1,0,0,1
"abundant",0,0,0,0,1,0,0,0
"abuse",1,0,1,1,0,1,0,0
"abutment",0,0,0,0,0,0,0,0
"aby",0,0,0,0,0,0,0,0
"abysmal",0,0,0,0,0,1,0,0
"abyss",0,0,0,1,0,1,0,0
"academic",0,0,0,0,0,0,0,1
"academy",0,0,0,0,0,0,0,0
"accede",0,0,0,0,0,0,0,0
"accelerate",0,1,0,0,0,0,0,0
"acceleration",0,0,0,0,0,0,0,0
"accent",0,0,0,0,0,0,0,0
"accentuate",0,0,0,0,0,0,0,0
"accept",0,0,0,0,0,0,0,0
"acceptable",0,0,0,0,0,0,0,0
"acceptance",0,0,0,0,0,0,0,0
"access",0,0,0,0,0,0,0,0
"accessible",0,0,0,0,0,0,0,0
"accession",0,0,0,0,0,0,0,0
"accessory",0,0,0,0,0,0,0,0
"accident",0,0,0,1,0,1,1,0
"accidental",0,0,0,1,0,0,1,0
"accidentally",0,0,0,0,0,0,1,0
"accolade",0,1,0,0,1,0,1,1
"accommodate",0,0,0,0,0,0,0,0
"accommodation",0,0,0,0,0,0,0,0
"accompaniment",0,1,0,0,1,0,0,1
"accompany",0,0,0,0,0,0,0,0
"accompanying",0,0,0,0,0,0,0,0
"accomplice",0,0,0,0,0,0,0,0
"accomplish",0,0,0,0,1,0,0,0
"accomplished",0,0,0,0,1,0,0,0
"accomplishment",0,0,0,0,0,0,0,0
"accord",0,0,0,0,0,0,0,1
"accordance",0,0,0,0,0,0,0,0
"accordion",0,0,0,0,0,0,0,0
"account",0,0,0,0,0,0,0,1
"accountability",0,0,0,0,0,0,0,1
"accountable",0,0,0,0,0,0,0,1
"accountant",0,0,0,0,0,0,0,1
"accounting",0,0,0,0,0,0,0,0
"accounts",0,0,0,0,0,0,0,1
"accredited",0,0,0,0,0,0,0,1
"accretion",0,0,0,0,0,0,0,0
"accrue",0,0,0,0,0,0,0,0
"accueil",0,0,0,0,0,0,0,0
"accumulate",0,0,0,0,0,0,0,0
"accumulation",0,0,0,0,0,0,0,0
"accuracy",0,0,0,0,0,0,0,0
"accurate",0,0,0,0,0,0,0,1
"accursed",1,0,0,1,0,1,0,0
"accusation",1,0,1,0,0,0,0,0
"accusative",0,0,0,0,0,0,0,0
"accused",1,0,0,1,0,0,0,0
"accuser",1,0,0,1,0,0,0,0
"accusing",1,0,0,1,0,0,0,0
"accustomed",0,0,0,0,0,0,0,0
"ace",0,0,0,0,0,0,0,0
"acetic",0,0,0,0,0,0,0,0
"ache",0,0,0,0,0,1,0,0
"achieve",0,0,0,0,1,0,0,1
"achievement",0,1,0,0,1,0,0,1
"aching",0,0,0,0,0,1,0,0
"acid",0,0,0,0,0,0,0,0
"acidity",0,0,0,0,0,0,0,0
"acknowledge",0,0,0,0,0,0,0,0
"acknowledged",0,0,0,0,0,0,0,0
"acknowledgment",0,0,0,0,0,0,0,0
"acme",0,0,0,0,0,0,0,0
"acoustic",0,0,0,0,0,0,0,0
"acoustics",0,0,0,0,0,0,0,0
"acquaint",0,0,0,0,0,0,0,0
"acquaintance",0,0,0,0,0,0,0,0
"acquainted",0,0,0,0,0,0,0,0
"acquiescence",0,0,0,0,0,0,0,0
"acquire",0,0,0,0,0,0,0,0
"acquiring",0,1,0,0,0,0,0,0
"acquisition",0,0,0,0,0,0,0,0
"acquisitions",0,0,0,0,0,0,0,0
"acreage",0,0,0,0,0,0,0,0
"acres",0,0,0,0,0,0,0,0
"acrobat",0,0,0,1,1,0,0,1
"act",0,0,0,0,0,0,0,0
"acting",0,0,0,0,0,0,0,0
"action",0,0,0,0,0,0,0,0
"actionable",1,0,1,0,0,0,0,0
"active",0,0,0,0,0,0,0,0
"activity",0,0,0,0,0,0,0,0
"actor",0,0,0,0,0,0,0,0
"actual",0,0,0,0,0,0,0,0
"actuality",0,0,0,0,0,0,0,0
"actuary",0,0,0,0,0,0,0,0
"acuity",0,0,0,0,0,0,0,0
"acumen",0,0,0,0,0,0,0,0
"acupuncture",0,0,0,0,0,0,0,0
"acutely",0,0,0,0,0,0,0,0
"adage",0,0,0,0,0,0,0,0
"adamant",0,0,0,0,0,0,0,0
"adapt",0,0,0,0,0,0,0,0
"adaptable",0,0,0,0,0,0,0,0
"add",0,0,0,0,0,0,0,0
"added",0,0,0,0,0,0,0,0
"addendum",0,0,0,0,0,0,0,0
"adder",1,0,1,1,0,1,0,0
"addiction",0,0,0,0,0,0,0,0
"addition",0,0,0,0,0,0,0,0
"additional",0,0,0,0,0,0,0,0
"additive",0,0,0,0,0,0,0,0
"address",0,0,0,0,0,0,0,0
"addressee",0,0,0,0,0,0,0,0
"addresses",0,1,0,0,0,0,0,0
"adept",0,0,0,0,0,0,0,0
"adequacy",0,0,0,0,0,0,0,0
"adequate",0,0,0,0,0,0,0,0
"adhere",0,0,0,0,0,0,0,0
"adherence",0,0,0,0,0,0,0,0
"adherent",0,0,0,0,0,0,0,0
"adhering",0,0,0,0,0,0,0,1
"adhesion",0,0,0,0,0,0,0,0
"adhesive",0,0,0,0,0,0,0,0
"adieu",0,0,0,0,0,0,0,0
"adipose",0,0,0,0,0,0,0,0
"adjacency",0,0,0,0,0,0,0,0
"adjacent",0,0,0,0,0,0,0,0
"adjective",0,0,0,0,0,0,0,0
"adjoining",0,0,0,0,0,0,0,0
"adjourn",0,0,0,0,0,0,0,0
"adjournment",0,0,0,0,0,0,0,0
"adjudicate",0,0,0,1,0,0,0,0
"adjudication",0,0,0,0,0,0,0,0
"adjunct",0,0,0,0,0,0,0,0
"adjust",0,0,0,0,0,0,0,0
"adjustment",0,0,0,0,0,0,0,0
"adjuvant",0,0,0,0,0,0,0,0
"administer",0,0,0,0,0,0,0,0
"administration",0,0,0,0,0,0,0,0
"administrative",0,0,0,0,0,0,0,1
"admirable",0,0,0,0,1,0,0,1
"admiral",0,0,0,0,0,0,0,1
"admiralty",0,0,0,0,0,0,0,0
"admiration",0,0,0,0,1,0,0,1
"admire",0,0,0,0,0,0,0,1
"admirer",0,0,0,0,0,0,0,0
"admissibility",0,0,0,0,0,0,0,0
"admissible",0,0,0,0,0,0,0,1
"admission",0,0,0,0,0,0,0,0
"admit",0,0,0,0,0,0,0,0
"admittance",0,0,0,0,0,0,0,0
"admitted",0,0,0,0,0,0,0,0
"admitting",0,0,0,0,0,0,0,0
"admixture",0,0,0,0,0,0,0,0
"admonition",0,0,0,1,0,0,0,0
"ado",0,0,0,0,0,0,0,0
"adobe",0,0,0,0,0,0,0,0
"adolescence",0,0,0,0,0,0,0,0
"adolescent",0,0,0,0,0,0,0,0
"adopt",0,0,0,0,0,0,0,0
"adoption",0,0,0,0,0,0,0,0
"adorable",0,0,0,0,1,0,0,0
"adoration",0,0,0,0,1,0,0,1
"adore",0,1,0,0,1,0,0,1
"adorn",0,0,0,0,0,0,0,0
"adornment",0,0,0,0,0,0,0,0
"adrift",0,1,0,1,0,1,0,0
"adult",0,0,0,0,0,0,0,0
"adulterated",0,0,0,0,0,0,0,0
"adultery",0,0,1,0,0,1,0,0
"advance",0,1,0,1,1,0,1,0
"advanced",0,0,0,0,0,0,0,0
"advancement",0,0,0,0,0,0,0,0
"advancing",0,0,0,0,0,0,0,0
"advantage",0,0,0,0,0,0,0,0
"advantageous",0,0,0,0,0,0,0,0
"advent",0,1,0,0,1,0,0,1
"adventure",0,1,0,0,0,0,0,0
"adventurer",0,0,0,0,0,0,0,0
"adventurous",0,0,0,0,0,0,0,0
"adversary",1,0,0,0,0,0,0,0
"adverse",1,0,1,1,0,1,0,0
"adversity",1,0,0,1,0,1,0,0
"advertise",0,0,0,0,0,0,0,0
"advertisement",0,0,0,0,0,0,0,0
"advice",0,0,0,0,0,0,0,1
"advisable",0,0,0,0,0,0,0,1
"advise",0,0,0,0,0,0,0,1
"advised",0,0,0,0,0,0,0,1
"advisement",0,0,0,0,0,0,0,0
"adviser",0,0,0,0,0,0,0,1
"advocacy",1,1,0,0,1,0,0,1
"advocate",0,0,0,0,0,0,0,1
"aegis",0,0,0,0,0,0,0,0
"aeration",0,0,0,0,0,0,0,0
"aerial",0,0,0,0,0,0,0,0
"aerodrome",0,0,0,0,0,0,0,0
"aerodynamics",0,0,0,0,0,0,0,0
"aeronautics",0,0,0,0,0,0,0,0
"aeroplane",0,0,0,0,0,0,0,0
"aesthetic",0,0,0,0,0,0,0,0
"aesthetics",0,0,0,0,1,0,0,0
"aetiology",0,0,0,0,0,0,0,0
"afar",0,0,0,0,0,0,0,0
"affable",0,0,0,0,0,0,0,0
"affair",0,0,0,0,0,0,0,0
"affecting",0,0,0,0,0,0,0,0
"affection",0,0,0,0,1,0,0,1
"affections",0,0,0,0,0,0,0,0
"affiche",0,0,0,0,0,0,0,0
"affidavit",0,0,0,0,0,0,0,0
"affiliated",0,0,0,0,0,0,0,0
"affiliation",0,0,0,0,0,0,0,0
"affinity",0,0,0,0,0,0,0,0
"affirm",0,0,0,0,0,0,0,1
"affirmation",0,0,0,0,0,0,0,0
"affirmative",0,0,0,0,0,0,0,0
"affirmatively",0,0,0,0,0,0,0,1
"affix",0,0,0,0,0,0,0,0
"afflict",0,0,0,1,0,1,0,0
"afflicted",0,0,0,0,0,0,0,0
"affliction",0,0,1,1,0,1,0,0
"affluence",0,0,0,0,1,0,0,0
"affluent",0,0,0,0,0,0,0,0
"afford",0,0,0,0,0,0,0,0
"affront",1,0,1,1,0,1,1,0
"afield",0,0,0,0,0,0,0,0
"afore",0,0,0,0,0,0,0,0
"aforementioned",0,0,0,0,0,0,0,0
"aforesaid",0,0,0,0,0,0,0,0
"afraid",0,0,0,1,0,0,0,0
"afresh",0,0,0,0,0,0,0,0
"aft",0,0,0,0,0,0,0,0
"aftermath",1,0,1,1,0,1,0,0
"afternoon",0,0,0,0,0,0,0,0
"aftertaste",0,0,0,0,0,0,0,0
"afterthought",0,0,0,0,0,0,0,0
"aga",0,0,0,1,0,0,0,1
"agate",0,0,0,0,0,0,0,0
"age",0,0,0,0,0,0,0,0
"aged",0,0,0,0,0,0,0,0
"agency",0,0,0,0,0,0,0,0
"agent",0,0,0,0,0,0,0,0
"agglomeration",0,0,0,0,0,0,0,0
"aggravated",1,0,0,0,0,0,0,0
"aggravating",1,0,0,0,0,1,0,0
"aggravation",1,0,1,0,0,0,0,0
"aggregate",0,0,0,0,0,0,0,0
"aggregation",0,0,0,0,0,0,0,0
"aggression",1,0,0,1,0,0,0,0
"aggressive",1,0,0,1,0,0,0,0
"aggressor",1,0,0,1,0,0,0,0
"aghast",0,0,1,1,0,0,1,0
