"location","postalCode","city","county","state"
"south san francisco, california","94080","South San Francisco","San Mateo County","California"
"oakland, california","94612","Oakland","Alameda County","California"
"san francisco, california","94102","San Francisco","San Francisco County","California"
"berkeley, california","94704","Berkeley","Alameda County","California"
"belvedere tiburon, california","94920","Tiburon","Marin County","California"
"san mateo, california","94403","San Mateo","San Mateo County","California"
"daly city, california","94015","Daly City","San Mateo County","California"
"san leandro, california","94577","San Leandro","Alameda County","California"
"atherton, california","94027","Atherton","San Mateo County","California"
"san rafael, california","94901","San Rafael","Marin County","California"
"walnut creek, california","94596","Walnut Creek","Contra Costa County","California"
"menlo park, california","94025","Menlo Park","San Mateo County","California"
"belmont, california","94002","Belmont","San Mateo County","California"
"san jose, california","95113","San Jose","Santa Clara County","California"
"palo alto, california",NA,NA,NA,NA
"emeryville, california","94608","Emeryville","Alameda County","California"
"el granada, california","94018","El Granada","San Mateo County","California"
"castro valley, california","94546","Castro Valley","Alameda County","California"
"fairfax, california","94930","Fairfax","Marin County","California"
"mountain view, california","94041","Mountain View","Santa Clara County","California"
"burlingame, california","94010","Burlingame","San Mateo County","California"
"martinez, california","94553","Martinez","Contra Costa County","California"
"pleasant hill, california","94523","Pleasant Hill","Contra Costa County","California"
"hayward, california","94541","Hayward","Alameda County","California"
"alameda, california","94501","Alameda","Alameda County","California"
"vallejo, california","94590","Vallejo","Solano County","California"
"benicia, california","94510","Benicia","Solano County","California"
"el cerrito, california","94530","El Cerrito","Contra Costa County","California"
"mill valley, california",NA,NA,NA,NA
"richmond, california","94804","Richmond","Contra Costa County","California"
"redwood city, california","94063","Redwood City","San Mateo County","California"
"el sobrante, california","94803","El Sobrante","Contra Costa County","California"
"stanford, california",NA,NA,NA,NA
"san pablo, california","94806","San Pablo","Contra Costa County","California"
"novato, california","94945","Novato","Marin County","California"
"pacifica, california","94044","Pacifica","San Mateo County","California"
"lafayette, california","94549","Lafayette","Contra Costa County","California"
"half moon bay, california","94019","Half Moon Bay","San Mateo County","California"
"fremont, california","94538","Fremont","Alameda County","California"
"orinda, california","94563","Orinda","Contra Costa County","California"
"san anselmo, california",NA,NA,NA,NA
"corte madera, california","94925","Corte Madera","Marin County","California"
"albany, california",NA,NA,NA,NA
"san carlos, california","94070","San Carlos","San Mateo County","California"
"san lorenzo, california","94580","San Lorenzo","Alameda County","California"
"foster city, california","94404","Foster City","San Mateo County","California"
"hercules, california","94547","Hercules","Contra Costa County","California"
"santa cruz, california","95060","Santa Cruz","Santa Cruz County","California"
"bolinas, california","94924","Bolinas","Marin County","California"
"sausalito, california","94965","Sausalito","Marin County","California"
"millbrae, california","94030","Millbrae","San Mateo County","California"
"larkspur, california","94939","Larkspur","Marin County","California"
"moraga, california","94556","Moraga","Contra Costa County","California"
"san bruno, california","94066","San Bruno","San Mateo County","California"
"petaluma, california","94952","Petaluma","Sonoma County","California"
"pinole, california","94564","Pinole","Contra Costa County","California"
"san geronimo, california","94963","San Geronimo","Marin County","California"
"crockett, california","94525","Crockett","Contra Costa County","California"
"boulder, colorado","80302","Boulder","Boulder County","Colorado"
"brisbane, california","94005","Brisbane","San Mateo County","California"
"freedom, california","95019","Freedom","Santa Cruz County","California"
"montara, california","94037","Montara","San Mateo County","California"
"green brae, california","94904","Kentfield","Marin County","California"
"woodside, california","94062","Woodside","San Mateo County","California"
"new york, new york","10007","New York","New York County","New York"
"ross, california","94957","Ross","Marin County","California"
"east palo alto, california","94303","East Palo Alto","San Mateo County","California"
"san quentin, california","94964","San Quentin","Marin County","California"
"portland, oregon","97201","Portland","Multnomah County","Oregon"
"rodeo, california","94572","Rodeo","Contra Costa County","California"
"hacienda heights, california","91745","Hacienda Heights","Los Angeles County","California"
"woodacre, california","94973","Woodacre","Marin County","California"
"westlake, california","90017","Los Angeles","Los Angeles County","California"
"riverside, california","92501","Riverside","Riverside County","California"
"rohnert park, california","94928","Rohnert Park","Sonoma County","California"
"sacramento, california",NA,NA,NA,NA
"point richmond, california","94801","Richmond","Contra Costa County","California"
"san diego, california","92101","San Diego","San Diego County","California"
"canyon country, california","91387","Santa Clarita","Los Angeles County","California"
"tucson, arizona","85701","Tucson","Pima County","Arizona"
"honolulu, hawaii","96813","Honolulu","Honolulu County","Hawaii"
"billings, montana","59101","Billings","Yellowstone County","Montana"
"west oakland, california","94607","Oakland","Alameda County","California"
"kentfield, california","94904","Kentfield","Marin County","California"
"milwaukee, wisconsin","53202","Milwaukee","Milwaukee County","Wisconsin"
"woodbridge, virginia","22191","Woodbridge","Prince William County","Virginia"
"glencove, california",NA,NA,NA,NA
"tiburon, california","94920","Tiburon","Marin County","California"
"madrid, spain",NA,NA,NA,NA
"las vegas, nevada","89101","Las Vegas","Clark County","Nevada"
"peoria, illinois",NA,NA,NA,NA
