"uniqueID","likesDogs","creditScore"
"donor20331","Yes",648.984045170597
"donor22447","No",650.231726716672
"donor19024","No",649.935715959228
"donor4686","Yes",650.57729186194
"donor9462","No",649.546685050941
"donor11183","No",650.0338565928
"donor19467","Yes",650.136252587193
"donor18419","Yes",649.406390789213
"donor13775","No",650.638625243035
"donor6978","No",650.084178692164
"donor7275","Yes",650.456487287829
"donor22735","No",650.070092590144
"donor14575","Yes",648.452609346871
"donor1502","Yes",649.882900143066
"donor235","Yes",650.012311732054
"donor12077","No",651.30021314973
"donor11265","No",650.292794154841
"donor4286","Yes",649.735624862397
"donor13804","No",650.324858376027
"donor8683","Yes",650.056621526337
"donor10231","Yes",651.053715318465
"donor16239","Yes",651.398608517312
"donor16822-3","Yes",650.901749281976
"donor7407","No",649.26699118545
"donor10064","Yes",649.275154229461
"donor13779","Yes",651.36693518664
"donor13521","Yes",651.758014269953
"donor7988","No",650.627569045211
"donor18500","Yes",649.767098345433
"donor7839","No",648.428097824693
"donor7281","Yes",647.566688585478
"donor18508","Yes",651.598234813343
"donor11633","Yes",650.005812248109
"donor1623","No",650.334132739512
"donor187","No",648.318752773177
"donor51819-98","No",650.710026078642
"donor5933","No",652.345006191068
"donor22154","Yes",650.387904016014
"donor10300","No",651.309655451551
"donor1974","Yes",649.158032822483
"donor13349","Yes",649.476797238832
"donor17126","Yes",651.11828426637
"donor18907","No",649.92119375673
"donor14598","No",650.737457828626
"donor121","Yes",652.282307712346
"donor15991","No",650.557882089639
"donor3505","Yes",651.240925331526
"donor4034","Yes",651.467231044423
"donor20305","No",650.038867183619
"donor8037","Yes",650.033412979076
"donor488","No",649.515469200561
"donor19250","Yes",649.424809312294
"donor20486","No",650.799041174921
"donor8937","Yes",648.836377394968
"donor118320-3","Yes",647.640429757044
"donor3641","Yes",648.747766537787
"donor17638","No",649.978103524274
"donor17645","No",650.189524412366
"donor17599","Yes",649.320784310316
"donor1070","No",648.625339753182
"donor12698","No",650.223238637498
"donor8512","No",650.691254813861
"donor282","No",649.427451109314
"donor14293","No",651.954841693269
"donor10709","Yes",651.318215906622
"donor20593","Yes",651.146893388607
"donor5197","No",648.938368035431
"donor7475","Yes",649.990485958124
