date,fruit_sales_2
4/1/20,102806
5/1/20,102151
6/1/20,107879
7/1/20,104913
8/1/20,103174
9/1/20,99681
10/1/20,100791
11/1/20,95864
12/1/20,96291
1/1/21,97278
2/1/21,101135
3/1/21,100632
4/1/21,100670
5/1/21,101987
6/1/21,105765
7/1/21,107051
8/1/21,102239
9/1/21,100586
10/1/21,98408
11/1/21,94020
12/1/21,96565
1/1/22,96960
2/1/22,96846
3/1/22,100254
4/1/22,106562
5/1/22,104589
6/1/22,103729
7/1/22,104792
8/1/22,101220
9/1/22,103602
10/1/22,99297
11/1/22,97353
12/1/22,98327
1/1/23,97694
2/1/23,99621
3/1/23,102907
4/1/23,102434
5/1/23,105593
6/1/23,105974
7/1/23,104334
8/1/23,101149
9/1/23,98225
10/1/23,97411
11/1/23,96817
12/1/23,95163
1/1/24,97901
2/1/24,98529
3/1/24,100391
