date,fruit_sales_11
3/25/20,378079
4/1/20,384666
4/8/20,384721
4/15/20,381546
4/22/20,383795
4/29/20,373212
5/6/20,367692
5/13/20,365866
5/20/20,362789
5/27/20,366309
6/3/20,371401
6/10/20,375430
6/17/20,383571
6/24/20,390431
7/1/20,388774
7/8/20,387342
7/15/20,389943
7/22/20,376365
7/29/20,374536
8/5/20,367368
8/12/20,368969
8/19/20,373158
8/26/20,372637
9/2/20,380698
9/9/20,394169
9/16/20,387550
9/23/20,399695
9/30/20,395689
10/7/20,391086
10/14/20,379816
10/21/20,374511
10/28/20,371166
11/4/20,378803
11/11/20,376770
11/18/20,376976
11/25/20,387289
12/2/20,393963
12/9/20,389519
12/16/20,402127
12/23/20,401176
12/30/20,397889
1/6/21,394922
1/13/21,381096
1/20/21,376380
1/27/21,379973
2/3/21,380725
2/10/21,380820
2/17/21,387433
2/24/21,399694
3/3/21,400239
3/10/21,406484
3/17/21,404564
3/24/21,404589
3/31/21,391036
4/7/21,390975
4/14/21,383817
4/21/21,378499
4/28/21,381467
5/5/21,388064
5/12/21,398855
5/19/21,405560
5/26/21,406629
6/2/21,410825
6/9/21,408442
6/16/21,396340
6/23/21,399563
6/30/21,392073
7/7/21,388989
7/14/21,383028
7/21/21,391730
7/28/21,400303
8/4/21,403488
8/11/21,407996
8/18/21,414609
8/25/21,415914
9/1/21,411772
9/8/21,409274
9/15/21,397760
9/22/21,402781
9/29/21,395056
10/6/21,397292
10/13/21,401137
10/20/21,404453
10/27/21,407998
11/3/21,412815
11/10/21,418993
11/17/21,421227
11/24/21,422626
12/1/21,412081
12/8/21,410246
12/15/21,408558
12/22/21,401098
12/29/21,400108
1/5/22,396184
1/12/22,404649
1/19/22,414812
1/26/22,414316
2/2/22,416215
2/9/22,418116
2/16/22,424874
2/23/22,415662
3/2/22,410311
3/9/22,410103
3/16/22,407421
3/23/22,409203
3/30/22,410243
4/6/22,408388
4/13/22,417528
4/20/22,424078
4/27/22,427457
5/4/22,434123
5/11/22,426390
5/18/22,422765
5/25/22,414105
6/1/22,410594
6/8/22,411735
6/15/22,409275
6/22/22,411209
6/29/22,411714
7/6/22,425932
7/13/22,425491
7/20/22,432916
7/27/22,429870
8/3/22,437234
8/10/22,431118
8/17/22,423173
8/24/22,419466
8/31/22,412680
9/7/22,413481
9/14/22,415966
9/21/22,423702
9/28/22,426518
10/5/22,430434
10/12/22,434972
10/19/22,436592
10/26/22,379783
11/2/22,384182
11/9/22,382147
11/16/22,380696
11/23/22,384492
11/30/22,371272
12/7/22,351044
12/14/22,359195
12/21/22,359223
12/28/22,365836
1/4/23,362441
1/11/23,362971
1/18/23,374278
1/25/23,372551
2/1/23,381686
2/8/23,378379
2/15/23,372048
2/22/23,374301
3/1/23,366305
3/8/23,364903
3/15/23,352659
3/22/23,349045
3/29/23,362113
4/5/23,371287
4/12/23,374339
4/19/23,372705
4/26/23,373120
5/3/23,377588
5/10/23,372566
5/17/23,365469
5/24/23,351015
5/31/23,359745
6/7/23,356751
6/14/23,356549
6/21/23,365107
6/28/23,363307
7/5/23,376579
7/12/23,371554
7/19/23,366394
7/26/23,374719
8/2/23,368531
8/9/23,363188
8/16/23,345886
8/23/23,348202
8/30/23,349024
9/6/23,347085
9/13/23,357317
9/20/23,357879
9/27/23,358131
10/4/23,379788
10/11/23,377657
10/18/23,365853
10/25/23,368389
11/1/23,357732
11/8/23,357810
11/15/23,341691
11/22/23,346641
11/29/23,352290
12/6/23,357220
12/13/23,359486
12/20/23,363723
12/27/23,364553
1/3/24,362567
1/10/24,372348
1/17/24,363095
1/24/24,356582
1/31/24,351990
2/7/24,345384
2/14/24,355057
2/21/24,357924
2/28/24,349359
3/6/24,356412
3/13/24,361196
