date,fruit_sales_3
4/1/20,208811
5/1/20,208610
6/1/20,207392
7/1/20,205586
8/1/20,199999
9/1/20,194681
10/1/20,189709
11/1/20,177581
12/1/20,177762
1/1/21,182797
2/1/21,179190
3/1/21,187079
4/1/21,195241
5/1/21,194530
6/1/21,199817
7/1/21,196975
8/1/21,184628
9/1/21,185323
10/1/21,174631
11/1/21,167202
12/1/21,162335
1/1/22,162580
2/1/22,175417
3/1/22,171905
4/1/22,183956
5/1/22,186903
6/1/22,185431
7/1/22,183794
8/1/22,179678
9/1/22,173451
10/1/22,161563
11/1/22,154483
12/1/22,159548
1/1/23,151510
2/1/23,157946
3/1/23,163295
4/1/23,170544
5/1/23,174046
6/1/23,174122
7/1/23,169383
8/1/23,168250
9/1/23,158686
10/1/23,150265
11/1/23,143030
12/1/23,143113
1/1/24,145708
2/1/24,145485
3/1/24,157036
